,1A0315500,1A0714,1A1214,1B0315,1B0614,1B0614500,6A0315,6B0714,MunidaAug2015ST1a0m,MunidaAug2015ST1a500m,MunidaAug2015ST2a,MunidaAug2015ST3a,MunidaAug2015ST4a,MunidaAug2015ST5a,MunidaAug2015ST6a,MunidaAug2015ST7a,MunidaAug2015ST8b,MunidaAug2016ST3a,MunidaAug2016ST5a,MunidaAug2016ST5b,MunidaAug2016ST8a0mD6,MunidaAug2016ST8b500m,MunidaDec2015ST1a0m,MunidaDec2015ST2a,MunidaDec2015ST3a,MunidaDec2015ST4a,MunidaDec2015ST5a,MunidaDec2015ST6a,MunidaDec2015ST7a,MunidaFeb2017ST2a,MunidaFeb2017ST3a,MunidaFeb2017ST8a0m,MunidaFeb22017ST6a,MunidaFeb22017ST8a0m,MunidaFeb22017ST8a500m,MunidaJan2016ST1a0m,MunidaJan2016ST1a500m,MunidaMar2016ST1a500m,MunidaMar2016ST3a,MunidaMar2016ST4a,MunidaMar2016ST5a,MunidaMar2016ST6b,MunidaMar2016ST7a,MunidaMar2016ST8a,MunidaMar2017ST2a,MunidaMar2017ST3a,MunidaNov2015ST1a500m,S11,S12,S21,S22,S31,S32,S41,S42,S51,S52
1A0315500,0,0.899877472,0.97122871,0.956359673,0.928769053,0.663954817,0.945122265,0.813215859,0.848830112,0.535961768,0.860930562,0.885636813,0.914105479,0.81984692,0.878122925,0.848356869,0.963688097,0.900724314,0.939335912,0.924044174,0.958528037,0.686766432,0.942885916,0.942809843,0.940509438,0.954797471,0.963774952,0.937029432,0.94128659,0.971187182,0.945832965,0.926197959,0.944714209,0.967865202,0.794621432,0.958042329,0.606282173,0.801306371,0.996879267,0.954559224,0.948208092,0.967329485,0.964882419,0.961402107,0.956914948,0.945570274,0.704395912,0.998445168,0.961950059,0.950035486,0.954054965,0.945796691,0.993208829,0.942189299,0.94743394,0.95073531,0.947786238
1A0714,0.899877472,0,0.750164407,0.571937322,0.333848651,0.841036147,0.654539219,0.650980607,0.644886662,0.921679525,0.664465169,0.741411462,0.841103385,0.682797183,0.817938711,0.748509928,0.867296588,0.761779733,0.782784931,0.751528879,0.773189639,0.89238895,0.798637227,0.801334322,0.774016405,0.781877969,0.787508805,0.74023004,0.750561077,0.822891315,0.662770274,0.705465439,0.755055297,0.656095144,0.911036472,0.734731681,0.841567407,0.901380991,0.996012474,0.670274148,0.606454105,0.88956235,0.779832048,0.775027489,0.804241321,0.681129526,0.792506787,0.997351533,0.690643194,0.620120741,0.630287521,0.609679715,0.989627822,0.575196739,0.589362929,0.614911201,0.602555608
1A1214,0.97122871,0.750164407,0,0.749795066,0.660946372,0.949649576,0.723434658,0.889988774,0.815509518,0.950200614,0.827454387,0.806227967,0.895668471,0.834408307,0.904965712,0.864449438,0.764256429,0.854600674,0.836703041,0.796274318,0.804386056,0.948557742,0.677403018,0.687041037,0.745718111,0.687052668,0.70644689,0.691022411,0.782704611,0.80398134,0.727297287,0.704654262,0.754893182,0.694006434,0.953823237,0.58904017,0.908381979,0.926666286,0.99373494,0.656219942,0.695576822,0.857767339,0.800502842,0.778284786,0.787561146,0.71676108,0.892658672,0.996007346,0.815856497,0.775310856,0.783701447,0.780587346,0.992673409,0.617868339,0.592200944,0.60197994,0.60818231
1B0315,0.956359673,0.571937322,0.749795066,0,0.477614946,0.939797595,0.39041268,0.771938102,0.789060911,0.970585939,0.797695405,0.85520573,0.897649287,0.81598577,0.895994755,0.84690027,0.855306306,0.769637196,0.799407369,0.737196516,0.753657707,0.966274339,0.829449314,0.831064572,0.805286242,0.800866061,0.803931548,0.762367342,0.727265942,0.805576401,0.629465892,0.710728891,0.731822422,0.560672744,0.973408458,0.703009814,0.920532792,0.953973249,0.996934565,0.578833636,0.542808003,0.879245816,0.671163813,0.662821453,0.798374927,0.698017764,0.908621564,0.997962223,0.580852353,0.560495466,0.570945881,0.564724986,0.991938009,0.469918699,0.418715272,0.414519268,0.409189099
1B0614,0.928769053,0.333848651,0.660946372,0.477614946,0,0.89484002,0.544093443,0.680937285,0.657576828,0.943839009,0.657033915,0.730437694,0.829563751,0.683496294,0.803345603,0.757072233,0.852656834,0.732675038,0.748906983,0.705678486,0.711811384,0.926928385,0.737079327,0.738798331,0.717859771,0.733279287,0.754512065,0.703738856,0.723852565,0.811910687,0.606636372,0.623493865,0.696330245,0.593823117,0.947890387,0.639553691,0.866434735,0.916020831,0.995964404,0.550549796,0.515200479,0.873632065,0.73857833,0.731491485,0.751261334,0.600071723,0.811112734,0.996598113,0.644274422,0.565804508,0.566871272,0.538612019,0.989812194,0.448501728,0.450465032,0.484302852,0.474385514
1B0614500,0.663954817,0.841036147,0.949649576,0.939797595,0.89484002,0,0.926314267,0.742984427,0.762815608,0.688442211,0.81162627,0.808728215,0.883414209,0.754258557,0.815114478,0.809583595,0.974358974,0.895423379,0.907232388,0.892520776,0.934567901,0.62755102,0.916807127,0.913947745,0.920872241,0.946978102,0.949572147,0.927959362,0.963597074,0.965221148,0.945032269,0.896070532,0.947826943,0.962527787,0.780397596,0.950802947,0.617651629,0.704347826,0.998497209,0.936382803,0.934125085,0.950463381,0.975611214,0.972004712,0.964322732,0.923571868,0.63406214,0.998295878,0.954525029,0.938567269,0.945719329,0.936812412,0.993632601,0.923451297,0.93263869,0.935434456,0.932094331
6A0315,0.945122265,0.654539219,0.723434658,0.39041268,0.544093443,0.926314267,0,0.742132496,0.77103861,0.960563201,0.777509486,0.812527186,0.878783065,0.781394847,0.846745317,0.781856839,0.812276737,0.655141811,0.717603963,0.633437216,0.678865002,0.956545917,0.789858454,0.811351572,0.761427382,0.779251973,0.78699873,0.747910328,0.674565847,0.708627494,0.614064803,0.685334147,0.688385847,0.622178701,0.96512997,0.745677416,0.900813065,0.930150347,0.995765472,0.543949292,0.45761565,0.772644034,0.570179973,0.533055892,0.680335338,0.620565667,0.886195439,0.997188125,0.527974579,0.543820272,0.548280423,0.546343486,0.98844929,0.565355162,0.579173562,0.596798557,0.589970573
6A0714,0.804515843,0.587726839,0.864361932,0.727661,0.605205657,0.781507824,0.711382214,0.243849126,0.6252908,0.847776301,0.611672278,0.735973597,0.780483622,0.609343561,0.656155762,0.559213591,0.84616854,0.660863959,0.830928571,0.788515311,0.85608415,0.807155353,0.804667767,0.827660098,0.792584156,0.82678938,0.86833392,0.805526558,0.69982501,0.813216026,0.750181271,0.73159428,0.740882688,0.827411457,0.872213055,0.830981642,0.746572805,0.84280303,0.996517391,0.798275022,0.703143413,0.859935111,0.761705236,0.747895954,0.724818541,0.702784777,0.714454548,0.997685803,0.630106323,0.578900086,0.578328638,0.542257591,0.991112691,0.66042966,0.700656711,0.731978813,0.717402874
6B0714,0.813215859,0.650980607,0.889988774,0.771938102,0.680937285,0.742984427,0.742132496,0,0.618871842,0.846517985,0.605073383,0.701134522,0.772274314,0.57323347,0.620782941,0.516272134,0.846153846,0.654086089,0.834629662,0.803373132,0.868501401,0.78663639,0.797458986,0.823771379,0.791507852,0.836675525,0.869145886,0.793367159,0.713467409,0.836726912,0.771042446,0.709534547,0.753229144,0.853119118,0.860588776,0.844794288,0.738229198,0.815884803,0.995418502,0.822738511,0.734871614,0.849361873,0.7939126,0.77730989,0.742549923,0.698616215,0.701462792,0.996958709,0.688342662,0.65081166,0.649311953,0.596506286,0.988792902,0.699465387,0.733449299,0.751536313,0.752693586
MunidaAug2015ST1a0m,0.848830112,0.644886662,0.815509518,0.789060911,0.657576828,0.762815608,0.77103861,0.618871842,0,0.828431373,0.292817117,0.434189288,0.554810975,0.267067295,0.54842467,0.443266172,0.804138542,0.602216818,0.698970197,0.613734442,0.74222278,0.73292868,0.580704329,0.600660939,0.524054513,0.630802063,0.677672225,0.613684813,0.69186828,0.772411149,0.640957329,0.470689349,0.664523204,0.693211548,0.792171042,0.702392308,0.663639704,0.76768893,0.992935982,0.649104907,0.626641327,0.779006451,0.802361304,0.781863945,0.6797787,0.535108134,0.554309741,0.995401292,0.835049057,0.784931471,0.784555556,0.75544251,0.987564089,0.679551035,0.734892537,0.746078011,0.718001197
