16S_Samples,MAG_Samples
1A0315500,1A_03/15_500
1A0714,1A_07/14_0
1A1214,1A_12/14_0
1B0315,1B_03/15_0
1B0614,1B_06/14_0
1B0614500,1B_06/14_500
6A0315,6A_03/15_0
6A0714,6B_07/14_0
6B0714,7B_06/14_0
MunidaAug2015ST1a0m,Munida_Aug2015_ST1a_0m
MunidaAug2015ST1a500m,Munida_Aug2015_ST1a_500m
MunidaAug2015ST2a,Munida_Aug2015_ST2a
MunidaAug2015ST3a,Munida_Aug2015_ST3a
MunidaAug2015ST4a,Munida_Aug2015_ST4a
MunidaAug2015ST5a,Munida_Aug2015_ST5a
MunidaAug2015ST6a,Munida_Aug2015_ST6a
MunidaAug2015ST7a,Munida_Aug2015_ST7a
MunidaAug2015ST8b,Munida_Aug2015_ST8b
MunidaAug2016ST3a,Munida_Aug2016_ST3a
MunidaAug2016ST5a,Munida_Aug2016_ST5
MunidaAug2016ST8a0mD6,Munida_Aug2016_ST8a_0m
MunidaAug2016ST8b500m,Munida_Aug2016_ST8b_500m
MunidaDec2015ST1a0m,Munida_Dec2015_ST1a_0m
MunidaDec2015ST2a,Munida_Dec2015_ST2a
MunidaDec2015ST3a,Munida_Dec2015_ST3a
MunidaDec2015ST4a,Munida_Dec2015_ST4a
MunidaDec2015ST5a,Munida_Dec2015_ST5a
MunidaDec2015ST6a,Munida_Dec2015_ST6a
MunidaDec2015ST7a,Munida_Dec2015_ST7a
MunidaFeb2017ST2a,Munida_Feb2017_ST2a
MunidaFeb2017ST3a,Munida_Feb2017_ST3
MunidaFeb2017ST8a0m,Munida_Feb2017_ST8a_0m
MunidaFeb22017ST6a,Munida_Feb22017_ST6
MunidaFeb22017ST8a0m,Munida_Feb22017_ST8a_0m
MunidaFeb22017ST8b500m,Munida_Feb22017_ST8b_500m
MunidaJan2016ST1a0m,Munida_Jan2016_ST1a_0m
MunidaJan2016ST1a500m,Munida_Jan2016_ST1a_500m
MunidaMar2016ST1a500m,Munida_Mar2016_ST1a_500m
MunidaMar2016ST3a,Munida_Mar2016_ST3a
MunidaMar2016ST4a,Munida_Mar2016_ST4a
MunidaMar2016ST5a,Munida_Mar2016_ST5a
MunidaMar2016ST6b,Munida_Mar2016_ST6b
MunidaMar2016ST7a,Munida_Mar2016_ST7a
MunidaMar2016ST8a,Munida_Mar2016_ST8a
MunidaMar2017ST2a,Munida_Mar2017_ST2a
MunidaMar2017ST3a,Munida_Mar2017_ST3
MunidaMar2017ST8a0m,Munida_Mar2017_ST8a_0m
MunidaNov2015ST1a500m,Munida_Nov2015_ST1a_500m
S11,S11
S12,S12
S21,S21
S22,S22
S31,S31
S32,S32
S41,S41
S42,S42
S51,S51
S52,S52
