,1A_03.15_500,1A_07.14_0,1A_12.14_0,1B_03.15_0,1B_06.14_0,1B_06.14_500,6A_03.15_0,6B_07.14_0,7B_06.14_0,Munida_Aug2015_ST1a_0m,Munida_Aug2015_ST1a_500m,Munida_Aug2015_ST2a,Munida_Aug2015_ST3a,Munida_Aug2015_ST4a,Munida_Aug2015_ST5a,Munida_Aug2015_ST6a,Munida_Aug2015_ST7a,Munida_Aug2015_ST8b,Munida_Aug2016_ST3a,Munida_Aug2016_ST5,Munida_Aug2016_ST8a_0m,Munida_Aug2016_ST8b_500m,Munida_Dec2015_ST1a_0m,Munida_Dec2015_ST2a,Munida_Dec2015_ST3a,Munida_Dec2015_ST4a,Munida_Dec2015_ST5a,Munida_Dec2015_ST6a,Munida_Dec2015_ST7a,Munida_Feb2017_ST2a,Munida_Feb2017_ST3,Munida_Feb2017_ST8a_0m,Munida_Feb22017_ST6,Munida_Feb22017_ST8a_0m,Munida_Feb22017_ST8b_500m,Munida_Jan2016_ST1a_0m,Munida_Jan2016_ST1a_500m,Munida_Mar2016_ST1a_500m,Munida_Mar2016_ST3a,Munida_Mar2016_ST4a,Munida_Mar2016_ST5a,Munida_Mar2016_ST6b,Munida_Mar2016_ST7a,Munida_Mar2016_ST8a,Munida_Mar2017_ST2a,Munida_Mar2017_ST3,Munida_Mar2017_ST8a_0m,Munida_Nov2015_ST1a_500m
1A_03/15_500,0,0.753215878,0.842369623,0.843059736,0.796570146,0.367899377,0.822363779,0.658008837,0.744995597,0.727447537,0.218530257,0.741155887,0.711936701,0.723084101,0.67191909,0.671408929,0.689778016,0.871107804,0.721210406,0.770164524,0.830180372,0.343438464,0.826603347,0.82902061,0.844901463,0.832934128,0.832609165,0.823655638,0.828145603,0.849571111,0.823827648,0.820233439,0.842034203,0.844859446,0.820509182,0.854869559,0.329093031,0.306277957,0.851990472,0.843399673,0.831525379,0.866672299,0.874910414,0.868553962,0.815221371,0.853716788,0.675199081,0.428814916
1A_07/14_0,0.753215878,0,0.496695182,0.53576299,0.183282469,0.616679939,0.456696782,0.332012154,0.356049088,0.254437498,0.70812362,0.304834257,0.15256767,0.265330333,0.274345435,0.401245345,0.374009908,0.691197049,0.331551512,0.366397963,0.547714964,0.697160808,0.490259671,0.504335144,0.434407938,0.433715854,0.459372436,0.452985644,0.451313549,0.481581693,0.310381783,0.35505879,0.424370181,0.495503387,0.443018564,0.465231816,0.584825845,0.602730845,0.676614408,0.638065652,0.596949882,0.649700241,0.670163864,0.639275208,0.342800214,0.414343264,0.293620978,0.546215057
1A_12/14_0,0.842369623,0.496695182,0,0.51176737,0.432219207,0.794869707,0.498145716,0.646583394,0.617814624,0.642658876,0.834862482,0.661855193,0.588803175,0.645632561,0.65473555,0.706444803,0.685536298,0.677024117,0.61435171,0.621917747,0.694302727,0.845515013,0.287377696,0.255443522,0.363281941,0.233544211,0.252110786,0.29962984,0.513003107,0.53489098,0.422911202,0.367662245,0.479656597,0.449908231,0.511110467,0.294845168,0.756715095,0.766997074,0.594697183,0.591619393,0.564708273,0.644481764,0.656446931,0.623410269,0.441787542,0.541964687,0.624441616,0.764843186
1B_03/15_0,0.843059736,0.53576299,0.51176737,0,0.440805981,0.793188446,0.257543616,0.680745505,0.611886725,0.70414798,0.835402306,0.717930831,0.614523654,0.706565762,0.701233361,0.765996108,0.745416826,0.676648212,0.559379227,0.436232041,0.482081631,0.836334541,0.572408932,0.545110647,0.616619875,0.551007512,0.48970629,0.491051773,0.514978349,0.540593354,0.511914837,0.458135571,0.617484384,0.300666979,0.600328185,0.538522567,0.770660465,0.778789782,0.365366895,0.280372684,0.239529842,0.484504182,0.501927977,0.481517664,0.59091011,0.679699318,0.663234729,0.742240524
1B_06/14_0,0.796570146,0.183282469,0.432219207,0.440805981,0,0.6913976,0.366507714,0.454738207,0.42586152,0.406402683,0.76140748,0.445581378,0.306581415,0.415900106,0.426429038,0.529174459,0.50414072,0.681144174,0.398263375,0.40115906,0.542162731,0.75803584,0.447149661,0.454563789,0.426805369,0.405093966,0.408997437,0.409730751,0.425743981,0.459476334,0.29521631,0.285421202,0.425847358,0.412913246,0.433620972,0.395194248,0.658443321,0.674030026,0.601788661,0.559630561,0.519590427,0.589902502,0.60967992,0.574852993,0.340096017,0.441393435,0.409644003,0.615949829
1B_06/14_500,0.367899377,0.616679939,0.794869707,0.793188446,0.6913976,0,0.758475815,0.491417584,0.611620158,0.586687276,0.307052944,0.613885202,0.558313082,0.583097468,0.517980318,0.546022981,0.549745265,0.827036421,0.580432155,0.659679002,0.765020967,0.220899595,0.768642144,0.771132952,0.771174365,0.771019385,0.767821514,0.751570937,0.751051814,0.774161512,0.722672573,0.722399867,0.757163502,0.792925633,0.743347394,0.788943971,0.201277212,0.195320797,0.83367691,0.815182946,0.796215327,0.827211697,0.837759512,0.827670391,0.722786843,0.763022269,0.519495677,0.175618362
6A_03/15_0,0.822363779,0.456696782,0.498145716,0.257543616,0.366507714,0.758475815,0,0.591643933,0.50548053,0.634547933,0.804825979,0.654442813,0.539118455,0.636888031,0.63057162,0.696837257,0.664599336,0.630410581,0.446725428,0.400382167,0.500803269,0.807169283,0.545043569,0.526648644,0.573754163,0.506972393,0.462150901,0.452574999,0.389471184,0.416350712,0.414655938,0.42568656,0.536254577,0.34003591,0.487954993,0.534761423,0.729767263,0.741744609,0.448489663,0.369096173,0.264915582,0.375172932,0.400664449,0.355078879,0.505111469,0.635892909,0.56900588,0.703181056
6B_07/14_0,0.658008837,0.332012154,0.646583394,0.680745505,0.454738207,0.491417584,0.591643933,0,0.257483125,0.29050031,0.597646974,0.308000147,0.272676107,0.28638823,0.222693394,0.244883074,0.189114447,0.719763205,0.286653329,0.477058758,0.664584749,0.580112514,0.641394654,0.655084975,0.595054681,0.6015048,0.628256641,0.611669311,0.526060575,0.532417938,0.465272298,0.55360387,0.508974241,0.653617872,0.462289162,0.626283535,0.478877847,0.498249156,0.772127177,0.747421713,0.704206367,0.726991365,0.745117212,0.722441224,0.439472046,0.525072734,0.138011177,0.491658873
7B_06/14_0,0.744995597,0.356049088,0.617814624,0.611886725,0.42586152,0.611620158,0.50548053,0.257483125,0,0.404220273,0.701745223,0.420160159,0.362489138,0.409179776,0.384298507,0.428446728,0.365430987,0.667475411,0.216825887,0.471777742,0.641199997,0.6883787,0.64882862,0.656876041,0.615147295,0.603877477,0.611780194,0.593762078,0.429227884,0.444029105,0.444346432,0.544637041,0.499805377,0.593148674,0.395097756,0.621584165,0.595186773,0.613167628,0.72380713,0.688087381,0.624511766,0.634605647,0.658001016,0.629380312,0.449854694,0.55664261,0.226661709,0.575530906
Munida_Aug2015_ST1a_0m,0.727447537,0.254437498,0.642658876,0.70414798,0.406402683,0.586687276,0.634547933,0.29050031,0.404220273,0,0.666965374,0.132779097,0.161055596,0.032573913,0.110703671,0.222867007,0.237172149,0.768957076,0.410011026,0.498153142,0.665250621,0.661788116,0.606579448,0.634077104,0.519824914,0.573767547,0.617248113,0.609341837,0.580864025,0.608070688,0.454242084,0.506739763,0.505322723,0.668572,0.518299802,0.589045164,0.55167242,0.558471274,0.795258605,0.77123267,0.741595346,0.776238514,0.791763335,0.770241826,0.415967823,0.388587801,0.278461578,0.557379154
Munida_Aug2015_ST1a_500m,0.218530257,0.70812362,0.834862482,0.835402306,0.76140748,0.307052944,0.804825979,0.597646974,0.701745223,0.666965374,0,0.687820754,0.651163827,0.659790063,0.601306362,0.602670887,0.624218322,0.862461771,0.672635498,0.734566247,0.81935826,0.206593545,0.811313849,0.816392449,0.81583911,0.815378316,0.816690159,0.806128577,0.80314783,0.826440772,0.787400428,0.790752157,0.809030091,0.834532429,0.791038335,0.835366774,0.249272737,0.217636186,0.866619762,0.853254228,0.835589024,0.863319635,0.872187865,0.86359293,0.784622912,0.819491995,0.61316022,0.403908131
Munida_Aug2015_ST2a,0.741155887,0.304834257,0.661855193,0.717930831,0.445581378,0.613885202,0.654442813,0.308000147,0.420160159,0.132779097,0.687820754,0,0.213867164,0.133727909,0.215824659,0.269973591,0.279586814,0.789091213,0.455416359,0.532012789,0.677313436,0.681411105,0.643567601,0.669493394,0.553383719,0.607520741,0.654385321,0.649967645,0.610270938,0.613074035,0.496627275,0.545579623,0.532470815,0.671782529,0.524944588,0.618353191,0.587522482,0.591490514,0.806263162,0.783927954,0.756851172,0.782451721,0.797436501,0.775641875,0.434058639,0.405244431,0.330200228,0.606836785
Munida_Aug2015_ST3a,0.711936701,0.15256767,0.588803175,0.614523654,0.306581415,0.558313082,0.539118455,0.272676107,0.362489138,0.161055596,0.651163827,0.213867164,0,0.162790557,0.149931784,0.300507223,0.295423056,0.730018095,0.321795242,0.388516996,0.578945352,0.641179609,0.554798626,0.578093284,0.49094792,0.520549647,0.554513639,0.54359375,0.527119847,0.550994507,0.404555497,0.432591398,0.4854164,0.571657705,0.49730285,0.537688081,0.523680322,0.540014133,0.728879478,0.69753132,0.661135389,0.703500645,0.722136388,0.694924831,0.391229823,0.42711274,0.247118852,0.496171435
Munida_Aug2015_ST4a,0.723084101,0.265330333,0.645632561,0.706565762,0.415900106,0.583097468,0.636888031,0.28638823,0.409179776,0.032573913,0.659790063,0.133727909,0.162790557,0,0.111244307,0.214272461,0.230994527,0.770752588,0.412252262,0.501141817,0.6650608,0.655946136,0.609058048,0.636203514,0.524844274,0.577487751,0.618668116,0.610631443,0.584691946,0.609986869,0.457989203,0.509090319,0.507579253,0.669943295,0.520825606,0.59278902,0.545434636,0.551980141,0.797601003,0.77396741,0.743900039,0.777568447,0.793057582,0.771549742,0.418885738,0.388224572,0.277515078,0.557758368
Munida_Aug2015_ST5a,0.67191909,0.274345435,0.65473555,0.701233361,0.426429038,0.517980318,0.63057162,0.222693394,0.384298507,0.110703671,0.601306362,0.215824659,0.149931784,0.111244307,0,0.177992162,0.197808751,0.761749208,0.371135468,0.486257567,0.666018195,0.596164157,0.619372806,0.641837114,0.549238835,0.591466876,0.621378229,0.608790234,0.58179722,0.612147415,0.46944608,0.524158341,0.526688447,0.671093537,0.536356086,0.607399986,0.479114015,0.49051403,0.789709781,0.767319055,0.73482278,0.770985661,0.787114815,0.765661014,0.445298356,0.447180829,0.208914193,0.486940011
Munida_Aug2015_ST6a,0.671408929,0.401245345,0.706444803,0.765996108,0.529174459,0.546022981,0.696837257,0.244883074,0.428446728,0.222867007,0.602670887,0.269973591,0.300507223,0.214272461,0.177992162,0,0.120218082,0.798767376,0.43963944,0.571594564,0.733322994,0.604791822,0.683211779,0.707720708,0.612424422,0.655573092,0.690675851,0.675251282,0.636189232,0.663012554,0.537144988,0.623280242,0.564653384,0.74092757,0.577119738,0.666551158,0.521304426,0.523033783,0.838394957,0.820388127,0.791358458,0.817653475,0.831688773,0.812935703,0.50358366,0.510487218,0.263125995,0.553093677
