Watermass,Completeness,Phylum,Gene,Category,Counts
STW,82.56,Crenarchaeota,ArsC,Alternative e acceptor,1
STW,76.4,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,67.41,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,82,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,56.79,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,71.96,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,67.97,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,62.86,Actinobacteriota,ArsC,Alternative e acceptor,1
Deep,79.65,Actinobacteriota,ArsC,Alternative e acceptor,1
Deep,80.34,Actinobacteriota,ArsC,Alternative e acceptor,0
STW,93.59,Actinobacteriota,ArsC,Alternative e acceptor,0
Deep,94.87,Actinobacteriota,ArsC,Alternative e acceptor,0
STW,64.8,Actinobacteriota,ArsC,Alternative e acceptor,0
Deep,50.16,Actinobacteriota,ArsC,Alternative e acceptor,0
Deep,69.58,Chloroflexota,ArsC,Alternative e acceptor,0
Deep,56.09,Chloroflexota,ArsC,Alternative e acceptor,0
SAW,71.08,Cyanobacteria,ArsC,Alternative e acceptor,0
SAW,88.86,Cyanobacteria,ArsC,Alternative e acceptor,0
STW,60.11,Gemmatimonadota,ArsC,Alternative e acceptor,0
STW,62.63,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,59.33,Proteobacteria,ArsC,Alternative e acceptor,0
Deep,92.98,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,64.8,Proteobacteria,ArsC,Alternative e acceptor,1
STW,83.65,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,69.85,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,60.99,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,53.64,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,87.1,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,94.41,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,54.47,Proteobacteria,ArsC,Alternative e acceptor,0
STW,79.32,Proteobacteria,ArsC,Alternative e acceptor,1
STW,73.9,Proteobacteria,ArsC,Alternative e acceptor,1
STW,66.38,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,58.12,Verrucomicrobiota,ArsC,Alternative e acceptor,1
STW,53.76,Verrucomicrobiota,ArsC,Alternative e acceptor,0
SAW,93.4,Verrucomicrobiota,ArsC,Alternative e acceptor,0
SAW,57.3,Verrucomicrobiota,ArsC,Alternative e acceptor,0
SAW,58.12,Crenarchaeota,ArsC,Alternative e acceptor,0
STW,83.2,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,62.04,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,77.81,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,80.74,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,67.62,Cyanobacteria,ArsC,Alternative e acceptor,0
SAW,93.03,Cyanobacteria,ArsC,Alternative e acceptor,0
SAW,74.64,Planctomycetota,ArsC,Alternative e acceptor,0
SAW,51.87,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,75.72,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,68.69,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,70.2,SAR324,ArsC,Alternative e acceptor,0
SAW,90.86,Bacteroidota,ArsC,Alternative e acceptor,1
SAW,81.05,Bacteroidota,ArsC,Alternative e acceptor,1
SAW,60.34,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,88.32,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,77.09,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,87.5,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,55.01,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,57.52,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,94.61,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,77.3,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,94.88,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,59.11,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,53.89,Proteobacteria,ArsC,Alternative e acceptor,1
STW,96.12,Crenarchaeota,ArsC,Alternative e acceptor,1
Deep,57.83,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,66,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,51.76,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,86.39,Actinobacteriota,ArsC,Alternative e acceptor,0
Deep,63.79,Actinobacteriota,ArsC,Alternative e acceptor,1
Deep,95.3,Actinobacteriota,ArsC,Alternative e acceptor,0
Deep,89.34,Actinobacteriota,ArsC,Alternative e acceptor,1
STW,88.17,Bacteroidota,ArsC,Alternative e acceptor,1
STW,92.28,Bacteroidota,ArsC,Alternative e acceptor,0
SAW,89.48,Bacteroidota,ArsC,Alternative e acceptor,0
SAW,80.09,Bacteroidota,ArsC,Alternative e acceptor,0
SAW,69.12,Bacteroidota,ArsC,Alternative e acceptor,0
SAW,71.96,Bacteroidota,ArsC,Alternative e acceptor,1
SAW,53.49,Bacteroidota,ArsC,Alternative e acceptor,0
Deep,55.18,Chloroflexota,ArsC,Alternative e acceptor,0
STW,60.91,Cyanobacteria,ArsC,Alternative e acceptor,0
STW,55.91,Planctomycetota,ArsC,Alternative e acceptor,0
STW,57.94,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,53.23,Proteobacteria,ArsC,Alternative e acceptor,0
Deep,76.71,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,80.26,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,77.9,Proteobacteria,ArsC,Alternative e acceptor,0
STW,78.33,Proteobacteria,ArsC,Alternative e acceptor,1
STW,85.24,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,72.15,Proteobacteria,ArsC,Alternative e acceptor,0
Deep,87.45,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,59.65,Proteobacteria,ArsC,Alternative e acceptor,0
Deep,94.58,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,90.93,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,87.22,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,66.74,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,88.77,Proteobacteria,ArsC,Alternative e acceptor,0
STW,56.37,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,66.85,Proteobacteria,ArsC,Alternative e acceptor,0
Deep,97.1,Proteobacteria,ArsC,Alternative e acceptor,1
Deep,84.35,SAR324,ArsC,Alternative e acceptor,1
Deep,62.39,SAR324,ArsC,Alternative e acceptor,0
Deep,54.8,Verrucomicrobiota,ArsC,Alternative e acceptor,1
Deep,67.87,Verrucomicrobiota,ArsC,Alternative e acceptor,0
Deep,63.92,Verrucomicrobiota,ArsC,Alternative e acceptor,0
SAW,96.57,Verrucomicrobiota,ArsC,Alternative e acceptor,0
STW,92.36,Verrucomicrobiota,ArsC,Alternative e acceptor,0
STW,81.07,Crenarchaeota,ArsC,Alternative e acceptor,0
SAW,59.69,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,96.58,Actinobacteriota,ArsC,Alternative e acceptor,1
STW,82.88,Actinobacteriota,ArsC,Alternative e acceptor,0
STW,68.06,Bacteroidota,ArsC,Alternative e acceptor,1
SAW,89.54,Cyanobacteria,ArsC,Alternative e acceptor,0
STW,74.84,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,54.27,Proteobacteria,ArsC,Alternative e acceptor,1
SAW,75.75,Proteobacteria,ArsC,Alternative e acceptor,0
STW,64.04,Proteobacteria,ArsC,Alternative e acceptor,0
STW,81.18,Proteobacteria,ArsC,Alternative e acceptor,1
STW,75.7,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,68.49,Proteobacteria,ArsC,Alternative e acceptor,0
STW,53.27,Proteobacteria,ArsC,Alternative e acceptor,0
SAW,92.72,Verrucomicrobiota,ArsC,Alternative e acceptor,0
SAW,90.95,Verrucomicrobiota,ArsC,Alternative e acceptor,0
SAW,55.25,Crenarchaeota,ArsC,Alternative e acceptor,0
NW,91.78,Crenarchaeota,ArsC,Alternative e acceptor,1
NW,84,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,75.6,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,75.14,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,73.6,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,66.55,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,80.84,Thermoplasmatota,ArsC,Alternative e acceptor,0
Front,85.33,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,80.53,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,63.73,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,85.33,Thermoplasmatota,ArsC,Alternative e acceptor,0
SAW,83.67,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,62.51,Thermoplasmatota,ArsC,Alternative e acceptor,0
Deep,53.96,Thermoplasmatota,ArsC,Alternative e acceptor,0
STW,86.97,Actinobacteriota,ArsC,Alternative e acceptor,1
Deep,91.52,Actinobacteriota,ArsC,Alternative e acceptor,0
Deep,87.26,Actinobacteriota,ArsC,Alternative e acceptor,1
Deep,66.81,Actinobacteriota,ArsC,Alternative e acceptor,1
Deep,97.76,Actinobacteriota,ArsC,Alternative e acceptor,0
NW,75.54,Bacteroidota,ArsC,Alternative e acceptor,1
NW,91.64,Bacteroidota,ArsC,Alternative e acceptor,0
NW,83.97,Bacteroidota,ArsC,Alternative e acceptor,1
NW,89.73,Bacteroidota,ArsC,Alternative e acceptor,1
NW,52.63,Bacteroidota,ArsC,Alternative e acceptor,0
NW,77.38,Bacteroidota,ArsC,Alternative e acceptor,0
NW,62.53,Bacteroidota,ArsC,Alternative e acceptor,0
Deep,51.4,Chloroflexota,ArsC,Alternative e acceptor,0
Deep,53.8,Chloroflexota,ArsC,Alternative e acceptor,0
Deep,88.94,Chloroflexota,ArsC,Alternative e acceptor,0
SAW,69.66,Cyanobacteria,ArsC,Alternative e acceptor,0
SAW,89.76,Cyanobacteria,ArsC,Alternative e acceptor,0
Front,85.01,Cyanobacteria,ArsC,Alternative e acceptor,0
