"","Bin_ID","CAZy: Alpha-galactans","CAZy: Alpha-mannan","CAZy: Amorphous Cellulose","CAZy: Arabinan","CAZy: Arabinose cleavage","CAZy: Beta-galactan (pectic galactan)","CAZy: Beta-mannan","CAZy: Chitin","CAZy: Crystalline Cellulose","CAZy: Fucose Cleavage","CAZy: Mixed-Linkage glucans","CAZy: Mucin","CAZy: Pectin","CAZy: Polyphenolics","CAZy: Rhamnose cleavage","CAZy: Starch","CAZy: Sulf-Polysachharides","CAZy: Xylans","CAZy: Xyloglucan","Methanogenesis and methanotrophy: Key functional gene","Methanogenesis and methanotrophy: acetate => methane, pt 1","Methanogenesis and methanotrophy: acetate => methane, pt 2","Methanogenesis and methanotrophy: acetate => methane, pt 3","Methanogenesis and methanotrophy: dimethylamine => monomethylamine","Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)","Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)","Methanogenesis and methanotrophy: methanol => methane","Methanogenesis and methanotrophy: monomethylamine => ammonia","Methanogenesis and methanotrophy: putative but not defining CO2 => methane","Methanogenesis and methanotrophy: trimethylamine => dimethylamine","Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation","Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation","Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation","Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)","Nitrogen metabolism: Nitrogen fixation altennative","Nitrogen metabolism: ammonia => nitrite","Nitrogen metabolism: nitrate => nitrite","Nitrogen metabolism: nitric oxide => nitrous oxide","Nitrogen metabolism: nitrite => nitrate","Nitrogen metabolism: nitrite => nitric oxide","Nitrogen metabolism: nitrogen => ammonia","Nitrogen metabolism: nitrous oxide => nitrogen","Other Reductases: TMAO reductase","Other Reductases: arsenate reduction, pt 1","Other Reductases: arsenate reduction, pt 2","Other Reductases: mercury reduction","Other Reductases: selenate/Chlorate reduction","Photosynthesis: Photosystem I","Photosynthesis: Photosystem II","SCFA and alcohol conversions: Alcohol production","SCFA and alcohol conversions: Butyrate, pt 1","SCFA and alcohol conversions: Butyrate, pt 2","SCFA and alcohol conversions: Propionate, pt 1","SCFA and alcohol conversions: Propionate, pt 2","SCFA and alcohol conversions: acetate, pt 1","SCFA and alcohol conversions: acetate, pt 2","SCFA and alcohol conversions: acetate, pt 3","SCFA and alcohol conversions: lactate D","SCFA and alcohol conversions: lactate L","SCFA and alcohol conversions: pyruvate => acetyl CoA v1","SCFA and alcohol conversions: pyruvate => acetyl CoA v2","SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3","Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate","Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide","Sulfur metabolism: tetrathionate => thiosulfate","Sulfur metabolism: thiosulfate => sulfite"
"1","Luminiphilus","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0"
"57","MGIIb-O5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"113","MedAcidi-G3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"169","UBA11654","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"225","Nitrosopumilus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"281","MGIIb-O3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"337","UBA9040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"393","MGIIb-O1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"449","UBA868","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"505","MED-G09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"561","UBA2589","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"617","UBA5682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"673","UBA1096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"785","MS024-2A","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"841","HIMB11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"897","UBA11606","0","0","1","1","1","0","1","0","0","0","1","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"953","Cutibacterium","0","0","1","0","1","0","1","1","0","1","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
"1009","HIMB11","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0"
"1065","D2472","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1121","HIMB11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"1177","Nitrosopumilus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1233","Planktomarina","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"1289","Synechococcus_C","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1345","HIMB11","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0"
"1401","MGIIa-L1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1457","Arctic95D-9","0","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1513","SW10","0","0","0","1","1","0","1","0","1","1","1","0","1","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"1569","HIMB11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"1625","Puniceispirillum","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"1681","Luminiphilus","0","0","0","1","1","0","0","1","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1737","OM182","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"1793","MED-G09","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"1849","Planktomarina","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"1905","SCGC-AAA160-P02","0","0","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1961","Thioglobus","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2017","Polaribacter","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2129","Polaribacter","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2185","BACL21","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2241","MAG-121220-bin8","0","1","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2297","HTCC2207","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
