bin_ID,Sample,Watermass,Phylum,cluster
72_bin.1,72,Deep,Chloroflexota,clust1
61_bin.48,61,Deep,Chloroflexota,clust1
63_bin.3,63,SAW,Chloroflexota,clust1
79_bin.29,79,SAW,Chloroflexota,clust1
35_bin.54,35,Neritic,Cyanobacteria,clust1
62_bin.8,62,STW,Chloroflexota,clust1
73_bin.3,73,STW,Cyanobacteria,clust1
5_bin.19,5,SAW,Chloroflexota,clust1
72_bin.9,72,Deep,Cyanobacteria,clust1
17_bin.31,17,SAW,Chloroflexota,clust1
36_bin.1,36,Neritic,Cyanobacteria,clust1
81_bin.6,81,STW,Cyanobacteria,clust1
10_bin.34,10,STW,Cyanobacteria,clust1
77_bin.7,77,SAW,Chloroflexota,clust1
12_bin.33,12,Neritic,Cyanobacteria,clust1
1_bin.22,1,STW,Cyanobacteria,clust1
59_bin.1,59,STW,Cyanobacteria,clust1
37_bin.61,37,STW,Cyanobacteria,clust1
79_bin.10,79,SAW,Cyanobacteria,clust1
76_bin.22,76,STW,Cyanobacteria,clust1
62_bin.17,62,STW,Cyanobacteria,clust1
7_bin.22,7,STW,Cyanobacteria,clust1
78_bin.21,78,STW,Cyanobacteria,clust1
44_bin.17,44,STW,Cyanobacteria,clust1
38_bin.37,38,Front,Cyanobacteria,clust1
61_bin.56,61,Deep,Cyanobacteria,clust1
44_bin.21,44,STW,Cyanobacteria,clust2
51_bin.16,51,Deep,Planctomycetota,clust2
72_bin.3,72,Deep,Proteobacteria,clust2
61_bin.5,61,Deep,Planctomycetota,clust2
83_bin.33,83,Deep,Planctomycetota,clust2
20_bin.21,20,Deep,Planctomycetota,clust2
15_bin.9,15,Front,Proteobacteria,clust2
80_bin.37,80,Deep,Planctomycetota,clust2
16_bin.14,16,SAW,Proteobacteria,clust2
47_bin.16,47,Deep,Planctomycetota,clust2
2_bin.33,2,SAW,Proteobacteria,clust2
66_bin.29,66,SAW,Proteobacteria,clust2
45_bin.18,45,Front,Proteobacteria,clust2
4_bin.8,4,STW,Planctomycetota,clust2
64_bin.34,64,Deep,Proteobacteria,clust2
18_bin.2,18,SAW,Proteobacteria,clust2
17_bin.17,17,SAW,Proteobacteria,clust2
19_bin.18,19,SAW,Proteobacteria,clust2
80_bin.33,80,Deep,Proteobacteria,clust2
9_bin.1,9,Deep,Planctomycetota,clust2
34_bin.49,34,Deep,Planctomycetota,clust2
58_bin.12,58,SAW,Proteobacteria,clust2
57_bin.7,57,Front,Proteobacteria,clust2
43_bin.30,43,Deep,Planctomycetota,clust2
46_bin.52,46,SAW,Proteobacteria,clust2
43_bin.28,43,Deep,Proteobacteria,clust2
14_bin.2,14,STW,Proteobacteria,clust2
