Sample Domain Phylum Class Order Family Genus Species
80 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438 UBA8438 UBA8438 sp002712885
23 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438  unclassified UBA8438  unclassified UBA8438
51 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438  unclassified UBA8438  unclassified UBA8438
61 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438  unclassified UBA8438  unclassified UBA8438
80 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438  unclassified UBA8438  unclassified UBA8438
83 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438  unclassified UBA8438  unclassified UBA8438
80 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales UBA8438  unclassified UBA8438  unclassified UBA8438
36 Bacteria Actinobacteriota Actinobacteria Actinomycetales Microbacteriaceae Aquiluna  unclassified Aquiluna
10 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Propionibacteriaceae Cutibacterium Cutibacterium acnes
3 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Propionibacteriaceae Cutibacterium Cutibacterium acnes
13 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
23 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
3 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
34 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
44 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
62 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
65 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
78 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 MedAcidi-G1 MedAcidi-G1 sp000817085
1 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 MedAcidi-G3 MedAcidi-G3 sp000817105
65 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 MedAcidi-G3 MedAcidi-G3 sp000817105
76 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 MedAcidi-G3 MedAcidi-G3 sp000817105
78 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 MedAcidi-G3 MedAcidi-G3 sp000817105
20 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 S20-B6 S20-B6 sp002699725
