Phylum,Function,Category,n,Completeness
Acidobacteriota,ArsC,Alternative e acceptor,0,
Acidobacteriota,RdhA,Alternative e acceptor,0,
Acidobacteriota,Cyc2,Alternative e donor,0,
Acidobacteriota,FdhA,Alternative e donor,0,
Acidobacteriota,HbsT,Carbon fixation,0,
Acidobacteriota,RbcL,Carbon fixation,0,
Acidobacteriota,AmoA,Nitrogen cycle,0,
Acidobacteriota,NapA,Nitrogen cycle,0,
Acidobacteriota,NarG,Nitrogen cycle,0,
Acidobacteriota,NifH,Nitrogen cycle,0,
Acidobacteriota,NirK,Nitrogen cycle,0,
Acidobacteriota,NorB,Nitrogen cycle,0,
Acidobacteriota,NosZ,Nitrogen cycle,0,
Acidobacteriota,PsaA,Phototrophy,0,
Acidobacteriota,PsbA,Phototrophy,0,
Acidobacteriota,RHO,Phototrophy,0,
Acidobacteriota,AtpA,Respiration,4,73.8075
Acidobacteriota,CcoN,Respiration,0,
Acidobacteriota,CoxA,Respiration,4,68.115
Acidobacteriota,CydA,Respiration,0,
Acidobacteriota,CyoA,Respiration,0,
Acidobacteriota,NuoF,Respiration,0,
Acidobacteriota,Sdha_FrdA,Respiration,5,77.612
Acidobacteriota,DsrA,Sulfur cycle,0,
Acidobacteriota,FCC,Sulfur cycle,0,
Acidobacteriota,SoxB,Sulfur cycle,0,
Acidobacteriota,Sqr,Sulfur cycle,0,
Acidobacteriota,CoxL,Trace gas metabolism,0,
Acidobacteriota,NiFe_hydrogenase,Trace gas metabolism,0,
Actinobacteriota,ArsC,Alternative e acceptor,31,83.43483871
Actinobacteriota,RdhA,Alternative e acceptor,10,95.968
Actinobacteriota,Cyc2,Alternative e donor,0,
Actinobacteriota,FdhA,Alternative e donor,0,
Actinobacteriota,HbsT,Carbon fixation,0,
Actinobacteriota,RbcL,Carbon fixation,0,
Actinobacteriota,AmoA,Nitrogen cycle,0,
Actinobacteriota,NapA,Nitrogen cycle,0,
Actinobacteriota,NarG,Nitrogen cycle,3,74.12666667
Actinobacteriota,NifH,Nitrogen cycle,0,
Actinobacteriota,NirK,Nitrogen cycle,2,66.52
Actinobacteriota,NorB,Nitrogen cycle,1,82.88
Actinobacteriota,NosZ,Nitrogen cycle,0,
Actinobacteriota,PsaA,Phototrophy,0,
Actinobacteriota,PsbA,Phototrophy,0,
Actinobacteriota,RHO,Phototrophy,31,89.31548387
Actinobacteriota,AtpA,Respiration,58,87.94206897
Actinobacteriota,CcoN,Respiration,0,
Actinobacteriota,CoxA,Respiration,57,87.61263158
Actinobacteriota,CydA,Respiration,2,86.11
Actinobacteriota,CyoA,Respiration,0,
Actinobacteriota,NuoF,Respiration,59,86.76762712
Actinobacteriota,Sdha_FrdA,Respiration,63,86.26095238
Actinobacteriota,DsrA,Sulfur cycle,0,
Actinobacteriota,FCC,Sulfur cycle,0,
Actinobacteriota,SoxB,Sulfur cycle,0,
Actinobacteriota,Sqr,Sulfur cycle,1,89.34
Actinobacteriota,CoxL,Trace gas metabolism,3,84.85
Actinobacteriota,NiFe_hydrogenase,Trace gas metabolism,0,
Bacteroidota,ArsC,Alternative e acceptor,54,78.98648148
Bacteroidota,RdhA,Alternative e acceptor,0,
Bacteroidota,Cyc2,Alternative e donor,0,
Bacteroidota,FdhA,Alternative e donor,6,88.98
Bacteroidota,HbsT,Carbon fixation,0,
Bacteroidota,RbcL,Carbon fixation,1,61.38
Bacteroidota,AmoA,Nitrogen cycle,0,
Bacteroidota,NapA,Nitrogen cycle,0,
Bacteroidota,NarG,Nitrogen cycle,0,
Bacteroidota,NifH,Nitrogen cycle,0,
Bacteroidota,NirK,Nitrogen cycle,0,
Bacteroidota,NorB,Nitrogen cycle,0,
Bacteroidota,NosZ,Nitrogen cycle,0,
Bacteroidota,PsaA,Phototrophy,0,
Bacteroidota,PsbA,Phototrophy,1,84.38
Bacteroidota,RHO,Phototrophy,91,80.93945055
Bacteroidota,AtpA,Respiration,104,79.33576923
Bacteroidota,CcoN,Respiration,0,
Bacteroidota,CoxA,Respiration,89,80.47820225
Bacteroidota,CydA,Respiration,0,
Bacteroidota,CyoA,Respiration,0,
Bacteroidota,NuoF,Respiration,1,90.75
Bacteroidota,Sdha_FrdA,Respiration,106,78.56207547
Bacteroidota,DsrA,Sulfur cycle,0,
Bacteroidota,FCC,Sulfur cycle,0,
Bacteroidota,SoxB,Sulfur cycle,1,65.43
Bacteroidota,Sqr,Sulfur cycle,0,
Bacteroidota,CoxL,Trace gas metabolism,0,
Bacteroidota,NiFe_hydrogenase,Trace gas metabolism,0,
