Sample_ID,Sample_ID_2,MOTS_ID,Year,Month,M.Y,sampDate,Season,Published_station,Watermass,Lon (oE),Lat (oN),Distance (km from TH),Temp (oC),Salinity (psu),Phosphate (mol/m-3),Nitrate (mol/m-3),Silicate (mol/m-3),chlA (mg/m3),Nucleic_acid(ng/uL),260/280,260/230,Conc. Current (nM) - library QC
1,1A,7B_06/14_0,2014,6,3/06/14,3/06/14,Winter,2,STW,170.953,-45.782,18.11,12.1,34.768,0.48,5.4,1.5,0.34,21.4,1.6,0.6,2.7
2,1B,1B_06/14_0,2014,6,3/06/14,3/06/14,Winter,8,SAW,171.532,-45.829,63.28,9.7,34.229,0.99,11.5,1.1,0.19,47.54,1.48,0.64,9
3,1C,1B_06/14_500,2014,6,3/06/14,3/06/14,Winter,8D,Deep,171.532,-45.829,63.28,7.1,34.36,1.19,16.7,3.9,0,34.93,1.48,0.61,1
4,2A,6B_07/14_0,2014,7,29/07/14,29/07/14,Winter,2,STW,170.942,-45.786,17.31,10.4,34.517,0.49,4.7,2,0.56,3.69,1.59,0.26,0.9
5,2B,1A_07/14_0,2014,7,29/07/14,29/07/14,Winter,8,SAW,171.534,-45.83,63.29,8.4,34.25,1.02,14.2,1.7,0.25,31.05,1.56,0.63,8.1
6,3A,1A_12/14_0,2014,12,19/12/14,19/12/14,Summer,8,SAW,171.533,-45.83,63.8,11.4,34.302,0.98,11,0,0.27,20.46,1.64,0.64,10.6
7,4A,6A_03/15_0,2015,3,10/03/15,10/03/15,Autumn,3,STW,171.027,-45.796,23.94,13.8,34.761,0.47,2.7,0.5,1.06,11.56,1.51,0.72,6.3
8,4B,1B_03/15_0,2015,3,10/03/15,10/03/15,Autumn,8,SAW,171.534,-45.83,63.61,12.3,34.375,0.86,8.7,0.28,0.47,7.19,1.35,0.66,8
9,4C,1A_03/15_500,2015,3,10/03/15,10/03/15,Autumn,8D,Deep,171.534,-45.83,63.61,7.5,34.422,1.36,12.9,4.63,0,4.78,1.31,0.54,2.4
10,5A,6A_04/15_0,2015,4,21/04/15,21/04/15,Autumn,3,STW,171.036,-45.796,24.65,12.4,34.695,0.67,4.7,1.35,1.37,4.56,1.91,0.65,3.3
11,5B,1A_04/15_0,2015,4,21/04/15,21/04/15,Autumn,8,SAW,171.534,-45.829,63.35,10.9,34.311,0.94,10,0.55,0.36,8.06,1.55,0.72,7.8
12,6A,Munida_Aug2015_ST8b,2015,8,11/08/15,11/08/15,Winter,1,Neritic,170.895,-45.787,13.67,8.8,34.043,0.15,0.7,1.4,7.58,1.97,0.97,0.56,55.3
13,6B,Munida_Aug2015_ST7a,2015,8,11/08/15,11/08/15,Winter,2,STW,171.006,-45.791,22.26,9.3,34.693,0.68,7.9,2.1,0.23,1.97,0.89,0.56,15.9
14,6C,Munida_Aug2015_ST6a,2015,8,11/08/15,11/08/15,Winter,3,STW,171.095,-45.792,29.15,9,34.616,0.71,8.4,3.4,0.22,20.97,1.55,0.57,3.6
15,6D,Munida_Aug2015_ST5a,2015,8,11/08/15,11/08/15,Winter,4,Front,171.198,-45.794,37.13,8.1,34.429,0.84,9.9,2.2,0.2,5.78,1.91,0.74,60.3
16,6E,Munida_Aug2015_ST4a,2015,8,11/08/15,11/08/15,Winter,5,SAW,171.279,-45.799,43.42,8.4,34.46,0.84,9.6,2.4,0.2,17.49,1.52,0.58,12.5
17,6F,Munida_Aug2015_ST3a,2015,8,11/08/15,11/08/15,Winter,6,SAW,171.384,-45.809,51.67,7.7,34.315,0.81,8.4,1.7,0.16,5.23,1.56,0.6,49.6
18,6G,Munida_Aug2015_ST2a,2015,8,11/08/15,11/08/15,Winter,7,SAW,171.489,-45.826,59.92,7.9,34.31,0.97,12.3,2.2,0.16,12.57,1.51,0.59,15.8
19,6H,Munida_Aug2015_ST1a_0m,2015,8,11/08/15,11/08/15,Winter,8,SAW,171.548,-45.837,64.72,7.9,34.308,0.88,10.3,1.85,0.16,4.96,1.82,0.63,15.7
20,6I,Munida_Aug2015_ST1a_500m,2015,8,11/08/15,11/08/15,Winter,8D,Deep,171.548,-45.837,64.72,7,34.375,1.54,22.1,11.75,0,10.47,1.72,0.58,4.1
21,7A,Munida_Nov2015_ST7a,2015,11,5/11/15,5/11/15,Spring,2,STW,170.97,-45.786,19.4,10.8,34.833,0.59,6.5,1.7,1.49,0.17,-0.32,0.13,1.7
