"","Domain","Phylum","Class","Order","Family","Genus","Species","Watermass"
"80_bin.45","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","UBA8438","UBA8438 sp002712885","Deep"
"23_bin.63","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","Family_UBA8438","Family_UBA8438","Deep"
"51_bin.24","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","Family_UBA8438","Family_UBA8438","Deep"
"61_bin.37","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","Family_UBA8438","Family_UBA8438","Deep"
"80_bin.15","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","Family_UBA8438","Family_UBA8438","Deep"
"83_bin.27","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","Family_UBA8438","Family_UBA8438","Deep"
"80_bin.35","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA8438","Family_UBA8438","Family_UBA8438","Deep"
"36_bin.73","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Microbacteriaceae","Aquiluna","Genus_Aquiluna","Neritic"
"10_bin.20","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes","STW"
"3_bin.7","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes","Deep"
"13_bin.8","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","STW"
"23_bin.16","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","Deep"
"3_bin.19","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","Deep"
"34_bin.24","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","Deep"
"44_bin.11","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","STW"
"62_bin.19","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","STW"
"65_bin.17","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","STW"
"78_bin.30","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","MedAcidi-G1","MedAcidi-G1 sp000817085","STW"
"1_bin.17","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","MedAcidi-G3","MedAcidi-G3 sp000817105","STW"
"65_bin.22","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","MedAcidi-G3","MedAcidi-G3 sp000817105","STW"
"76_bin.16","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","MedAcidi-G3","MedAcidi-G3 sp000817105","STW"
"78_bin.17","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","MedAcidi-G3","MedAcidi-G3 sp000817105","STW"
"20_bin.26","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"34_bin.38","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"43_bin.23","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"51_bin.18","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"61_bin.20","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"64_bin.19","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"69_bin.14","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"72_bin.12","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"83_bin.1","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"9_bin.21","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","S20-B6","S20-B6 sp002699725","Deep"
"9_bin.23","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Dermatophilaceae","Terracoccus","Genus_Terracoccus","Deep"
"52_bin.48","Bacteria","Actinobacteriota","Acidimicrobiia","TMED189","TMED189","TMED189","Genus_TMED189","STW"
"10_bin.18","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA11606","UBA11606","Genus_UBA11606","STW"
"37_bin.70","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA11606","UBA11606","Genus_UBA11606","STW"
"38_bin.4","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA11606","UBA11606","Genus_UBA11606","Front"
"65_bin.32","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA11606","UBA11606","Genus_UBA11606","STW"
"37_bin.41","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA11606","UBA11606","Genus_UBA11606","STW"
"20_bin.31","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"23_bin.21","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"3_bin.17","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"34_bin.52","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"47_bin.36","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"51_bin.22","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"64_bin.26","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"80_bin.5","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"83_bin.41","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"9_bin.45","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"1_bin.28","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","STW"
"35_bin.29","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Neritic"
"36_bin.83","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Neritic"
"37_bin.14","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","STW"
"38_bin.60","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Front"
"39_bin.27","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","SAW"
"48_bin.20","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","STW"
"77_bin.24","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","SAW"
"23_bin.41","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Deep"
"46_bin.6","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","SAW"
"20_bin.19","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"9_bin.44","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"23_bin.30","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"3_bin.26","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"64_bin.8","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"80_bin.10","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"20_bin.32","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
