unique_id,1,2,3
"Misc_K00798_Cobalamin biosynthesis, cobinamide => cobalamin",6.333333333,6.78125,13.92307692
"Misc_K02225_Cobalamin biosynthesis, cobinamide => cobalamin",1,1.53125,0.307692308
"Misc_K02227_Cobalamin biosynthesis, cobinamide => cobalamin",2.333333333,3.5625,2.538461538
"Misc_K02231_Cobalamin biosynthesis, cobinamide => cobalamin",1.958333333,3.28125,2.615384615
"Misc_K02232_Cobalamin biosynthesis, cobinamide => cobalamin",2.083333333,3.0625,2.384615385
"Misc_K02233_Cobalamin biosynthesis, cobinamide => cobalamin",2.416666667,3.8125,3.461538462
"Misc_K19221_Cobalamin biosynthesis, cobinamide => cobalamin",3.375,5.375,4
"Misc_K19712_Cobalamin biosynthesis, cobinamide => cobalamin",0.541666667,0.125,0.230769231
"Misc_K13786_Cobalamin biosynthesis, precorrin2 => cobinamide",0,0,0
"Misc_K00589_Siroheme biosynthesis, glutamate => siroheme",0,0,0
"Misc_K01698_Siroheme biosynthesis, glutamate => siroheme",6.916666667,11.03125,14.23076923
"Misc_K01719_Siroheme biosynthesis, glutamate => siroheme",6.125,8.1875,12.30769231
"Misc_K01749_Siroheme biosynthesis, glutamate => siroheme",6.833333333,10.5,15.38461538
"Misc_K01845_Siroheme biosynthesis, glutamate => siroheme",6.833333333,13.09375,33.69230769
"Misc_K01885_Siroheme biosynthesis, glutamate => siroheme",6.541666667,9.40625,11.30769231
"Misc_K02302_Siroheme biosynthesis, glutamate => siroheme",1.75,1.125,2.615384615
"Misc_K02303_Siroheme biosynthesis, glutamate => siroheme",2.291666667,2.625,3.846153846
"Misc_K02304_Siroheme biosynthesis, glutamate => siroheme",0,0,0
"Misc_K02492_Siroheme biosynthesis, glutamate => siroheme",5.5,8.53125,15.23076923
"Misc_K02496_Siroheme biosynthesis, glutamate => siroheme",1.5,1.53125,2.615384615
"Misc_K03794_Siroheme biosynthesis, glutamate => siroheme",0,0.09375,0.769230769
"Misc_K13542_Siroheme biosynthesis, glutamate => siroheme",0.375,1.34375,4.692307692
"Misc_K13543_Siroheme biosynthesis, glutamate => siroheme",0,0.03125,0
"Misc_K14163_Siroheme biosynthesis, glutamate => siroheme",0,0,0
Misc_K07464_Subtype I-A factors,0.416666667,0.53125,0
Misc_K07725_Subtype I-A factors,0,0,0
Misc_K19074_Subtype I-A factors,0,0,0
Misc_K19075_Subtype I-A factors,0,0,0
Misc_K19085_Subtype I-A factors,0,0,0
Misc_K19086_Subtype I-A factors,0,0,0
Misc_K19087_Subtype I-A factors,0,0,0
Misc_K19088_Subtype I-A factors,0,0,0
Misc_K19089_Subtype I-A factors,0,0,0
Misc_K19090_Subtype I-A factors,0,0,0
Misc_K19091_Subtype I-A factors,0,0,0
Misc_K07464_Subtype I-B factors,0.416666667,0.53125,0
Misc_K19114_Subtype I-B factors,0,0,0
Misc_K19115_Subtype I-B factors,0,0,0
Misc_K19116_Subtype I-B factors,0,0,0
Misc_K07464_Subtype I-C factors,0.416666667,0.53125,0
Misc_K19117_Subtype I-C factors,0,0,0
Misc_K19118_Subtype I-C factors,0,0,0
Misc_K19119_Subtype I-C factors,0,0,0
Misc_K07464_Subtype I-D factors,0.416666667,0.53125,0
Misc_K19091_Subtype I-D factors,0,0,0
Misc_K19120_Subtype I-D factors,0,0,0
Misc_K19121_Subtype I-D factors,0,0,0
Misc_K19122_Subtype I-D factors,0,0,0
Misc_K19046_Subtype I-E factors,0,0,0.076923077
Misc_K19123_Subtype I-E factors,0,0,0.076923077
Misc_K19124_Subtype I-E factors,0,0,0.076923077
Misc_K19125_Subtype I-E factors,0,0,0.076923077
Misc_K19126_Subtype I-E factors,0,0,0.076923077
Misc_K19127_Subtype I-F factors,0,0,0.076923077
Misc_K19128_Subtype I-F factors,0,0,0.076923077
Misc_K19129_Subtype I-F factors,0,0,0.076923077
Misc_K19130_Subtype I-F factors,0,0,0.076923077
Misc_K19131_Subtype I-U factors,0,0,0
Misc_K19132_Subtype I-U factors,0,0,0
Misc_K19133_Subtype I-U factors,0,0,0
Misc_K19134_Subtype I-U factors,0,0,0
Misc_K19135_Subtype I-U factors,0,0,0
Misc_K19136_Subtype I-U factors,0,0,0
Misc_K07012_Type I signiture cas proteins,0,0,0.153846154
Misc_K07475_Type I signiture cas proteins,0,0,0
Misc_K19137_Subtype II-A factors,0,0,0
Misc_K07464_Subtype II-B factors,0.416666667,0.53125,0
Misc_K09952_Type II signiture cas proteins,0,0.03125,0.076923077
Misc_K09002_Subtype III-A factors,0,0,0
Misc_K19138_Subtype III-A factors,0,0,0
Misc_K19139_Subtype III-A factors,0,0,0
Misc_K19140_Subtype III-A factors,0,0,0
Misc_K07061_Subtype III-B factors,0,0,0
Misc_K09000_Subtype III-B factors,0,0,0
Misc_K09127_Subtype III-B factors,0,0,0
Misc_K19076_Subtype III-B factors,0,0,0
Misc_K19141_Subtype III-B factors,0,0,0
Misc_K19142_Subtype III-B factors,0,0,0
Misc_K19143_Subtype III-U factors,0,0,0
Misc_K19144_Subtype III-U factors,0,0,0
Misc_K19145_Subtype III-U factors,0,0,0
Misc_K19146_Subtype III-U factors,0,0,0
Misc_K07016_Type III signiture cas proteins,0,0,0
Misc_K09951_Universal Cas proteins,0,0.03125,0.153846154
Misc_K15342_Universal Cas proteins,0,0.03125,0.230769231
Misc_K02387_Flagellar Assembly,1.125,1.84375,1.230769231
Misc_K02388_Flagellar Assembly,1.125,1.6875,1.307692308
Misc_K02389_Flagellar Assembly,1.208333333,1.78125,0.769230769
Misc_K02390_Flagellar Assembly,0.708333333,1.15625,0.461538462
Misc_K02391_Flagellar Assembly,0.083333333,0.1875,1
Misc_K02392_Flagellar Assembly,0.916666667,1.875,1.615384615
Misc_K02393_Flagellar Assembly,1.041666667,2.0625,1.538461538
Misc_K02394_Flagellar Assembly,1.041666667,2.03125,1.461538462
Misc_K02396_Flagellar Assembly,1.333333333,2.0625,1.923076923
Misc_K02397_Flagellar Assembly,0.75,1.4375,1.461538462
Misc_K02400_Flagellar Assembly,1.333333333,2.28125,1.769230769
Misc_K02401_Flagellar Assembly,1.041666667,1.6875,1.230769231
Misc_K02406_Flagellar Assembly,1.583333333,5.625,6
Misc_K02407_Flagellar Assembly,0.916666667,1.78125,1.769230769
Misc_K02408_Flagellar Assembly,1.333333333,2.3125,1
Misc_K02409_Flagellar Assembly,1.458333333,2.40625,1.384615385
Misc_K02410_Flagellar Assembly,1.833333333,2.9375,3.307692308
