sample,Watermass,sum_unique_functions,number_MAGS
1,STW,6154,13
2,SAW,4528,9
3,Deep,8654,15
4,STW,707,2
5,SAW,4583,10
6,SAW,8119,13
7,STW,5224,10
8,SAW,8539,15
10,STW,5081,9
11,SAW,4440,7
13,STW,2707,6
14,STW,1135,3
16,SAW,2966,6
17,SAW,2601,5
18,SAW,3582,6
19,SAW,3020,5
20,Deep,9929,16
21,STW,7884,12
22,SAW,2588,5
23,Deep,20751,33
24,STW,8738,16
25,STW,6266,12
27,SAW,5752,11
28,SAW,5319,10
29,SAW,7957,15
30,SAW,6933,13
32,STW,1832,4
33,SAW,8194,14
34,Deep,14060,24
37,STW,16887,27
39,SAW,10672,19
40,SAW,15121,24
41,SAW,19659,34
42,SAW,16606,27
43,Deep,10741,18
44,STW,2623,6
46,SAW,6753,12
47,Deep,10933,17
48,STW,6016,10
50,SAW,7402,12
51,Deep,14855,25
52,STW,9719,15
53,SAW,2225,5
54,SAW,8669,17
56,STW,5456,8
58,SAW,2754,5
59,STW,644,2
61,SAW,16821,29
62,STW,3060,8
63,SAW,2749,6
64,Deep,6368,11
65,STW,4281,10
66,SAW,1956,5
67,STW,7917,13
68,SAW,7546,13
69,Deep,7941,12
70,STW,5960,10
71,SAW,5971,10
72,Deep,3712,8
73,STW,616,2
74,SAW,8828,14
76,STW,6153,12
77,SAW,10973,20
78,STW,4824,10
79,SAW,12188,20
80,Deep,14618,24
81,STW,757,2
82,SAW,5173,12
83,Deep,10319,16
