Bin,Sample,Year,Watermass
1_bin.12,1,2014,STW
1_bin.15,1,2014,STW
1_bin.17,1,2014,STW
1_bin.18,1,2014,STW
1_bin.22,1,2014,STW
1_bin.23,1,2014,STW
1_bin.28,1,2014,STW
1_bin.33,1,2014,STW
1_bin.4,1,2014,STW
1_bin.40,1,2014,STW
1_bin.5,1,2014,STW
1_bin.8,1,2014,STW
1_bin.9,1,2014,STW
2_bin.1,2,2014,SAW
2_bin.13,2,2014,SAW
2_bin.18,2,2014,SAW
2_bin.23,2,2014,SAW
2_bin.33,2,2014,SAW
2_bin.4,2,2014,SAW
2_bin.51,2,2014,SAW
2_bin.53,2,2014,SAW
2_bin.54,2,2014,SAW
3_bin.1,3,2014,Deep
3_bin.11,3,2014,Deep
3_bin.12,3,2014,Deep
3_bin.14,3,2014,Deep
3_bin.16,3,2014,Deep
3_bin.17,3,2014,Deep
3_bin.18,3,2014,Deep
3_bin.19,3,2014,Deep
3_bin.25,3,2014,Deep
3_bin.26,3,2014,Deep
3_bin.27,3,2014,Deep
3_bin.3,3,2014,Deep
3_bin.5,3,2014,Deep
3_bin.6,3,2014,Deep
3_bin.7,3,2014,Deep
4_bin.2,4,2014,STW
4_bin.8,4,2014,STW
5_bin.10,5,2014,SAW
5_bin.13,5,2014,SAW
5_bin.15,5,2014,SAW
5_bin.19,5,2014,SAW
5_bin.20,5,2014,SAW
5_bin.21,5,2014,SAW
5_bin.25,5,2014,SAW
5_bin.28,5,2014,SAW
5_bin.4,5,2014,SAW
5_bin.9,5,2014,SAW
6_bin.10,6,2014,SAW
6_bin.14,6,2014,SAW
6_bin.15,6,2014,SAW
6_bin.17,6,2014,SAW
6_bin.20,6,2014,SAW
6_bin.23,6,2014,SAW
6_bin.25,6,2014,SAW
6_bin.27,6,2014,SAW
6_bin.3,6,2014,SAW
6_bin.31,6,2014,SAW
6_bin.34,6,2014,SAW
6_bin.4,6,2014,SAW
6_bin.9,6,2014,SAW
7_bin.10,7,2015,STW
7_bin.11,7,2015,STW
7_bin.21,7,2015,STW
7_bin.22,7,2015,STW
7_bin.25,7,2015,STW
7_bin.33,7,2015,STW
7_bin.34,7,2015,STW
7_bin.35,7,2015,STW
7_bin.36,7,2015,STW
7_bin.37,7,2015,STW
8_bin.1,8,2015,SAW
8_bin.12,8,2015,SAW
8_bin.15,8,2015,SAW
8_bin.18,8,2015,SAW
8_bin.2,8,2015,SAW
8_bin.22,8,2015,SAW
8_bin.23,8,2015,SAW
8_bin.24,8,2015,SAW
8_bin.29,8,2015,SAW
8_bin.30,8,2015,SAW
8_bin.33,8,2015,SAW
8_bin.34,8,2015,SAW
8_bin.36,8,2015,SAW
8_bin.7,8,2015,SAW
8_bin.9,8,2015,SAW
10_bin.1,10,2015,STW
10_bin.12,10,2015,STW
10_bin.16,10,2015,STW
10_bin.18,10,2015,STW
10_bin.20,10,2015,STW
10_bin.25,10,2015,STW
