root,Phylum,Class,Order,Family,Genus,Species
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,UBA8438,UBA8438 sp002712885
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,Family_UBA8438,Family_UBA8438
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,Family_UBA8438,Family_UBA8438
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,Family_UBA8438,Family_UBA8438
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,Family_UBA8438,Family_UBA8438
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,Family_UBA8438,Family_UBA8438
root,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,Family_UBA8438,Family_UBA8438
root,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Aquiluna,Genus_Aquiluna
root,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
root,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
root,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105
root,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105
root,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105
root,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105
