Sample_ID,Location,Station,Depth,Mean_Date,Mean_Depth,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI,OG.Shannon,OG.Richness,OG.Evenness,FC_heterotrophs,FC_autotrophs,FC_bacteria,FC_picoeukaryotes
SOC_84_05M,SOC,84,SUR,3/01/11 11:10,5.9,1.8,33.7,338.3,24.4,0.27,1.72,25.3,16.55,7.2,12175,0.766,265149,0,265149,1506
SOC_85_05M,SOC,85,SUR,6/01/11 10:26,5.9,0.7,34.4,343.4,27.5,0.11,2.11,28.5,79.52,7.15,10111,0.776,411065,0,411065,0
SOC_85_90M,SOC,85,DCM,6/01/11 20:36,87.4,-0.8,34.3,325.4,33.1,0.06,2.31,31,81.82,7.15,10090,0.776,202364,0,202364,787
SOC_85_790M,SOC,85,MES,7/01/11 11:25,783.8,0.5,34.7,203.8,38.8,0.02,2.61,36.37,83.35,7.15,17413,0.732,17963,0,17963,0
RED_31_05M,RED,31,SUR,9/01/10 7:25,5.4,25.1,40,188.8,-0.1,0.01,0.02,0.03,0.82,7.08,14134,0.74,473351,204723,678074,1192
RED_32_05M,RED,32,SUR,11/01/10 7:27,5.4,25.8,39.7,188.4,-0.5,0.01,0.02,0,0.87,7.04,13296,0.742,444313,206786,651100,1437
RED_33_05M,RED,33,SUR,13/01/10 8:00,5.4,27.3,38.9,182.8,0,0,0.05,0,1.15,7.16,13578,0.753,556091,215346,771437,4410
RED_34_05M,RED,34,SUR,20/01/10 4:50,5.4,27.6,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,7.15,14190,0.748,480515,104486,585001,6442
RED_32_80M,RED,32,DCM,11/01/10 19:14,85.5,26.1,40.2,180,1.2,0.01,0.03,0.01,0.85,7.2,17321,0.737,294828,29385,324213,374
RED_34_60M,RED,34,DCM,20/01/10 7:44,60.1,27.6,38.9,175.4,0.1,0.27,0.09,0.64,1.35,7.19,17914,0.734,NA,16783,16783,99
PSW_112_05M,PSW,112,SUR,14/06/11 16:54,5.4,24.2,36.5,202.2,-0.9,0.01,0.14,0.03,0.8,7.12,16502,0.733,493328,118066,611394,321
PSW_122_05M,PSW,122,SUR,26/07/11 17:34,5.9,26.5,35.4,186.2,4,0.12,0.57,5.46,2.19,7.13,16069,0.736,NA,150974,150974,5770
PSW_123_05M,PSW,123,SUR,31/07/11 17:24,5.5,26.6,35.4,189.8,3.9,0.14,0.53,4.9,2.22,7.21,19169,0.731,721664,31112,752776,10279
PSW_124_05M,PSW,124,SUR,5/08/11 0:27,9.9,26.5,35.4,190.7,5.1,0.16,0.63,6.18,2.52,7.21,17533,0.738,705265,250340,955605,10669
PSW_125_05M,PSW,125,SUR,8/08/11 17:38,5.5,26.8,35.4,187.3,5,0.19,0.56,3.73,1.8,7.17,17303,0.734,800561,146848,947408,5808
PSW_128_05M,PSW,128,SUR,4/09/11 18:04,5.4,26.1,35.1,179.9,2.5,0.27,0.54,5.08,2.67,7.18,18140,0.732,435093,179847,614940,7872
PSW_128_40M,PSW,128,DCM,4/09/11 23:14,41.7,26.1,35.1,177,4.4,0.28,0.55,5.26,2.74,7.25,19859,0.733,484331,181360,665691,7895
PSW_112_696M,PSW,112,MES,15/06/11 22:14,689.3,5.8,34.3,199.2,29.2,0.01,2.15,31.46,20.6,7.31,20948,0.734,49879,0,49879,0
PSW_122_600M,PSW,122,MES,27/07/11 23:48,594.6,7.2,34.6,38.1,42.5,0.02,2.43,34.63,22.49,7.27,21889,0.727,89468,0,89468,0
PSE_93_05M,PSE,93,SUR,12/03/11 11:49,5.3,18,34.3,244.9,-1.5,0.01,0.52,0.02,0.09,7.33,17398,0.751,1495550,223179,1718729,8666
PSE_94_05M,PSE,94,SUR,18/03/11 14:16,5.4,21.1,34.7,219.2,-0.4,0,0.28,0.03,0.09,7.19,16192,0.741,NA,NA,NA,NA
PSE_96_05M,PSE,96,SUR,24/03/11 13:07,5.5,23.8,35.8,204.1,-0.4,0,0.16,0.02,0.53,7.1,14496,0.741,384614,0,384614,948
PSE_98_05M,PSE,98,SUR,3/04/11 18:10,5.6,25.1,36.4,200.5,-1.6,0,0.2,0.05,0.38,7.09,14079,0.742,387346,0,387346,436
PSE_99_05M,PSE,99,SUR,9/04/11 14:09,5.4,23.8,36.1,204,-1.7,0,0.29,0.04,0.55,7.11,13751,0.746,NA,NA,NA,NA
PSE_100_05M,PSE,100,SUR,15/04/11 13:10,5.5,25.3,35.8,200.2,4.6,0.14,0.68,6.2,1.2,7.17,14283,0.749,464267,155789,620056,7780
PSE_102_05M,PSE,102,SUR,21/04/11 20:16,5.5,24.9,34.7,206,11.7,0.32,1,12.6,5,7.13,13566,0.75,1032721,192335,1225056,19091
PSE_109_05M,PSE,109,SUR,12/05/11 13:38,5.4,27.6,33.4,198.6,1.2,0.04,0.27,0.9,1.7,7.17,15162,0.745,1053096,0,1053096,0
PSE_110_05M,PSE,110,SUR,21/05/11 12:37,5.5,23.9,35,190.8,6.7,0.31,0.75,8.2,3.9,7.18,15814,0.743,646867,189912,836779,12656
PSE_111_05M,PSE,111,SUR,31/05/11 14:12,5.9,22.8,36,208.9,2.6,0.04,0.5,2.68,1,7.13,14494,0.744,498513,112358,610871,5839
PSE_93_35M,PSE,93,DCM,12/03/11 20:07,33.8,16.4,34.3,237.2,0.7,0.37,1.07,7.55,0.59,7.37,16672,0.758,1664530,88789,1753319,3890
PSE_100_50M,PSE,100,DCM,15/04/11 13:10,57.6,20.6,35.5,216.8,1.5,0.16,0.78,5.7,1.9,7.25,18465,0.738,384276,116141,500417,4501
PSE_102_40M,PSE,102,DCM,22/04/11 19:51,45.7,19.6,34.9,103.9,20.3,1.2,1.86,24.4,10.5,7.17,15878,0.741,1071414,246947,1318361,13382
PSE_109_30M,PSE,109,DCM,13/05/11 0:00,29.8,26.5,34.3,203.1,3.9,0.11,0.5,4.6,3.2,7.17,15374,0.743,824281,155101,979382,4968
PSE_110_50M,PSE,110,DCM,21/05/11 23:21,48.7,21.8,35.1,144.6,10.9,0.41,0.93,10.7,6,7.19,16528,0.74,NA,NA,NA,NA
PSE_111_90M,PSE,111,DCM,31/05/11 21:23,89,19.9,35.7,211.5,1.4,0.2,0.44,0.93,0.9,7.1,15057,0.738,603813,87283,691096,2476
PSE_98_488M,PSE,98,MES,4/04/11 17:28,481.1,8.1,34.4,155.6,24.6,0,2.02,27.29,12.05,7.1,17162,0.728,54704,0,54704,0
