Bin,SOC_85_790M,SOC_85_90M,SOC_84_05M,SOC_85_05M,RED_34_60M,RED_32_80M,RED_34_05M,RED_33_05M,RED_31_05M,RED_32_05M,PSW_122_600M,PSW_112_696M,PSW_128_40M,PSW_128_05M,PSW_125_05M,PSW_124_05M,PSW_123_05M,PSW_112_05M,PSW_122_05M,PSE_111_350M,PSE_110_380M,PSE_109_380,PSE_102_480M,PSE_98_488M,PSE_111_90M,PSE_110_50M,PSE_109_30M,PSE_102_40M,PSE_100_50M,PSE_93_35M,PSE_111_05M,PSE_110_05M,PSE_109_05M,PSE_102_05M,PSE_100_05M,PSE_99_05M,PSE_98_05M,PSE_96_05M,PSE_93_05M,PSE_94_05M,PON_138_450M,PON_137_375M,PON_133_650M,PON_132_550M,PON_138_60M,PON_137_40M,PON_133_45M,PON_140_05M,PON_138_05M,PON_137_05M,PON_132_05M,PON_133_05M,MED_30_70M,MED_25_50M,MED_18_60M,MED_30_05M,MED_25_05M,MED_18_05M,MED_23_05M,IOS_65_850M,IOS_64_1000M,IOS_56_1000M,IOS_65_30M,IOS_64_65M,IOS_58_66M,IOS_52_75M,IOS_65_05M,IOS_64_05M,IOS_62_05M,IOS_57_05M,IOS_52_05M,IOS_56_05M,ION_39_270M,ION_38_340M,ION_42_80M,ION_41_60M,ION_39_25M,ION_38_25M,ION_36_17M,ION_48_05M,ION_45_05M,ION_42_05M,ION_41_05M,ION_36_05M,ION_38_05M,ASW_78_800M,ASW_76_800M,ASW_72_800M,ASW_82_40M,ASW_72_100M,ASW_82_05M,ASW_78_05M,ASW_72_05M,ASW_76_05M,ASE_70_800M,ASE_68_700M,ASE_68_50M,ASE_66_30M,ASE_70_05M,ASE_68_05M,ASE_66_05M,ASE_67_05M,ANE_152_800M,ANE_151_80M,ANE_150_40M,ANE_004_40M,ANE_152_05M,ANE_151_05M,ANE_004_05M,ANE_150_05M,ANW_149_740M,ANW_148_250M,ANW_146_640M,ANW_145_590M,ANW_142_640M,ANW_149_05M,ANW_148_05M,ANW_146_05M,ANW_145_05M,ANW_141_05M,ANW_142_05M
1_bin.12,6.134175796,13.34273762,11.53508824,12.46863081,13.04841389,39.15462009,89.75517081,130.4615008,149.2282209,57.42545211,12.53240862,6.853485438,71.24793043,66.32769435,91.05880939,82.5951008,118.2397524,37.77096497,37.1894665,7.000193817,27.91077473,12.21649499,9.249071457,5.645321565,17.71082918,43.05506255,84.54520013,180.9562999,23.37988442,1387.998223,32.78667459,77.59765178,86.0378153,125.7487802,44.75115885,59.64490123,50.54324908,45.4466479,548.212376,66.04604753,13.90209461,12.17721795,7.820943697,8.420153429,12.21546587,12.22482508,79.15016552,154.3815323,75.52279039,64.80362521,61.73719902,75.67101302,88.78152947,73.78000646,85.80096647,63.66469775,241.9674227,69.80285342,237.7621053,6.430635309,5.642342128,12.02923768,54.23162669,60.03314327,104.501588,67.23407918,34.16842776,40.54654677,67.92476794,67.54896021,66.82340302,78.92587709,13.67300892,12.38172064,15.51470204,20.48528068,158.4374473,98.7576308,305.1067649,34.74188194,77.63618621,49.85296182,60.33219695,216.0149717,136.4964915,11.42982076,10.38205172,35.76128147,8.592314641,22.81426032,10.06830169,78.46509865,58.04321934,55.10628533,28.17565915,8.199892365,12.55547349,19.57429125,52.1801583,11.82602487,23.2838958,104.5438654,7.851373122,41.21908892,41.85457188,77.60907983,40.77484516,45.79222583,95.31740494,38.14299123,5.892859114,7.964304759,6.322581217,6.174719272,11.14182842,32.50658767,32.39676886,20.96613014,57.10482791,288.2120866,42.75287
1_bin.15,20.18696428,0.590794735,0.489102157,0.487145177,123.272806,256.3094453,100.5520846,106.4723641,296.6999216,242.0059279,58.51238965,11.39382186,388.9925006,283.9398832,426.9544326,303.3660178,83.21315754,434.9659788,210.5825788,32.62738634,93.42850364,20.93301935,17.23164914,15.46763589,153.7448372,241.1966435,132.5494542,259.558851,293.9546065,0.400058437,290.9590441,144.4173357,35.33918024,92.76649316,40.68075632,348.8741738,603.0744197,143.5853368,0.170156389,3.186934837,6.758760227,6.64416917,24.24466743,22.40879004,199.4892255,20.28511415,504.5211758,79.72175869,73.442809,63.55835723,417.1171453,95.36288892,3.184166086,107.3926755,923.4615604,1.469434965,2.810844847,692.1194561,31.23218586,20.48228769,15.31858645,21.44652995,593.7525711,755.8327397,144.1321422,233.5833953,634.6403851,449.313307,119.291304,51.60052491,117.304769,159.7817968,1.636336283,3.509986883,102.3879263,142.0349448,84.36008982,76.03526393,97.42038505,30.20932814,16.10028824,113.8298903,43.18592788,67.07544058,173.1998323,7.546691013,9.551283711,110.7644772,1.999220857,191.4770954,1.476595697,74.85529624,184.60525,379.5091286,11.14364784,19.55654329,396.9446651,836.4705522,639.2264086,255.6631566,701.7669727,3.872271616,21.70570976,315.0334409,422.8143926,314.2979489,1775.934433,240.8852917,366.3650432,361.1208101,18.07740743,173.693414,21.85493392,19.77177276,20.39191968,883.3239605,1152.241111,553.9314136,1377.575947,16.38722361,255.5408901
1_bin.17,18.28978216,1.324925744,0.661575023,0.992861872,279.041657,536.2517111,87.8027984,93.34888171,19.94717106,14.0043436,115.3982972,27.15801057,73.83110087,65.59868544,76.87369179,117.6380765,71.04620297,10.87555207,4.465068311,93.08677174,77.8509136,99.14356634,90.54161168,38.73166407,401.9703891,131.5730625,3.458194825,267.0410998,200.850393,5.532029796,2.279878119,16.5757712,4.201435873,3.602905148,2.805569402,2.091662749,1.999461084,1.677634387,2.369585274,1.760413966,24.88595005,20.66623789,51.84374819,37.41588031,427.0980629,20.28671405,79.75859777,21.34915563,3.732791554,3.631906127,2.683831561,2.056984427,3.92350328,805.56312,548.1418902,2.443000533,27.52343742,508.0013515,416.0836843,33.63568442,22.63687178,15.706789,299.1758761,158.4376962,27.52192119,152.2530636,125.863361,79.84746694,22.32294962,35.41321983,2.928256418,11.63343925,11.91561714,13.38677328,203.6868961,157.1971014,145.2473165,122.1947985,18.37837896,2.946929691,4.673555893,10.06368874,4.007395315,9.105197402,15.37229731,15.25945158,15.58072268,29.01200331,0.782858167,585.3098573,0.832383781,12.50007864,5.222725177,3.386230797,15.61304088,36.4379217,287.2169893,424.9735753,94.62770994,227.8150745,515.0590688,8.984267606,53.15138507,1269.386135,386.5660767,538.3109285,1114.831174,242.8241333,28.17724405,401.8522595,62.49927649,313.6809947,87.76019715,46.1763734,83.58888838,332.9145758,295.6411812,437.3262039,369.819535,54.80594794,271.1890748
1_bin.18,81.47026175,8.156457263,8.442160655,8.855756464,450.1023913,919.7650233,719.3167856,1043.917559,94.37569243,126.1376068,141.6040795,54.15777361,47.27953071,43.20135075,207.5099744,123.7488581,35.01473291,24.48581638,37.36887657,82.94010734,89.61817919,120.3263761,85.16818041,55.74197453,509.9400745,146.1885529,25.7100842,138.9577605,382.5332192,139.2836939,22.73070255,51.38303245,29.66200638,27.58901521,32.03302078,21.79628186,23.46760841,24.48937025,49.19200209,21.2109326,121.0294883,68.20835809,108.1359645,50.35234893,681.2158134,432.0126152,658.4807026,91.20913825,17.13551391,20.70276838,19.1932971,16.63734319,63.7552926,1161.107044,110.820585,28.12436214,37.67166597,187.1915085,127.9909733,57.33908081,44.52887991,53.79735679,1022.287493,609.3885382,101.1300442,129.4351009,974.7365443,507.9188921,82.62956808,167.160759,26.3750126,48.76231289,52.744712,28.00732014,785.7035418,484.233099,298.1081636,757.0195793,82.4737779,18.96921049,19.21748294,30.95236831,14.66833493,63.09921255,113.9859242,24.31971613,32.29801754,49.75447527,6.906747056,834.2105884,6.431050224,60.57047967,18.18089273,13.50143253,24.07010468,57.2056491,704.0186835,1718.029522,48.0189638,608.1892074,1468.998964,35.89226111,66.08675814,1120.276545,375.5306213,1809.963146,1437.489289,217.3969143,94.11738653,466.4063491,60.32594149,449.1352308,70.18122857,65.13752135,81.02101702,1418.781444,1250.043114,1714.369465,2554.443051,322.939326,1427.943936
1_bin.22,35.56764105,1.130486971,0.063068436,0.027142986,25.44967314,17.19943345,2.455181887,1.512123457,0.15636244,0.103610062,34.43074442,33.89622929,1.558665848,1.284348108,0.313863908,0.398196295,0.286380964,0.008631391,0,27.75564793,20.83234152,23.85353426,45.110026,32.92278182,0.197239215,1.398424771,0,0.038938845,0.46365927,0.155678849,0,0.037165406,0,0,0,0.001806272,0.004738059,0.001461354,0.065121581,0,12.20544393,14.53778495,52.16757809,24.95984086,4.620240781,5.604444741,0.632965802,0.232697275,0,0,0.003629252,0,0.034894971,107.5206309,0.560107275,0.101250819,0.507601778,11.15336712,8.534153203,39.57343734,36.36796758,29.20123481,3.97638906,1.423297722,0.097621108,0.015382205,3.068770203,0.760367156,0.241413375,0.488597269,0,0.118375949,1.150027158,3.56276864,1.289314022,1.971805106,0.021017337,1.491176241,0.139781229,0,0,0.021751489,0.00129396,0.002431944,0.043015265,41.16184401,35.44652636,13.50461309,0.053550559,1.137714099,0.190385652,0.071435605,0.001370075,0.004832295,24.97970112,74.1862262,7.741839781,77.89334429,0.181013013,7.325905339,71.87576392,29.88407883,40.21601199,86.51646624,2.477182868,16.57248693,26.55767198,1.121430559,0.217394641,4.15918177,45.66604554,38.66317198,58.90560609,76.1792385,43.47219208,30.08130094,9.838394135,28.44976643,254.0567948,4.739535224,2.225570846
1_bin.23,21.2295097,0.128379447,0.108117319,0.031428721,538.3565181,678.4569867,688.8072876,455.7935966,146.4385396,114.375317,187.1379918,18.89592678,637.5110242,538.5194879,311.8773791,308.8369626,443.331289,111.424059,803.7122959,95.78049347,396.9078091,56.10118895,29.87825233,20.79203158,854.2164279,1732.8273,352.8450969,465.79994,752.7481394,0.429021944,410.5686817,232.1741513,181.0004097,76.16356718,40.05249493,69.62997176,28.52548686,5.230185949,0.243680755,0.91945188,21.1446178,13.77999784,37.15270796,39.79554997,2883.92725,96.80346374,271.4605505,91.96622375,451.9129058,261.5032642,289.773965,3.199287354,74.44187741,686.036006,841.9442944,19.87631465,17.25592245,653.7140073,353.8069702,26.60664099,21.24956324,44.58592021,554.4771707,1242.876643,359.7446288,972.7537144,610.5698432,807.8818248,444.8703366,263.3818478,645.3803199,380.8926286,4.470704488,7.024372245,1296.309624,2538.134273,422.6376397,246.3425827,62.98000179,35.0255789,46.20782726,203.2198079,35.43769309,30.53305379,147.528775,9.270916533,10.76812949,107.4413208,1.111811599,459.5465285,0.834597568,30.31174014,122.4819479,70.30385345,10.93844288,69.61348623,416.7532419,469.4856311,366.2187933,281.642215,563.2159534,3.659427371,34.99224572,1453.769449,403.0838483,823.9036703,183.5545668,1035.408804,63.58358457,342.8942402,23.66536383,259.0162862,29.82019368,78.61273744,26.92308831,449.5300428,371.3080374,440.8475017,124.486836,45.53925011,1181.756978
1_bin.28,5.901725749,6.428943546,2.932038721,2.382868492,23.89015737,74.87289155,20.77461597,16.70240476,10.23224116,7.198351505,12.42468453,6.179468199,12.08539838,10.93109482,15.2511066,39.52523655,32.89653051,5.613280977,5.126642972,12.35682892,10.16284048,13.78058975,12.06835994,6.992218963,22.33655839,8.22096102,5.415430918,16.12068174,12.48836705,24.74569611,4.199695859,6.643316373,4.286511677,5.43392002,3.246017205,3.269351965,3.117643111,2.840872167,12.78693756,3.162017442,7.926403923,7.416991744,9.262051271,8.326034263,17.5509049,9.389804792,109.3198999,11.27434685,5.369380028,5.488514857,4.064761796,4.079353613,22.39602845,188.7083419,67.87604004,7.332895862,20.1238725,65.48813029,116.8125548,6.568333523,5.244305616,4.609956497,40.87517284,34.63759851,11.96400909,14.22238661,30.34142057,23.3497673,12.33933845,13.48218242,3.849621947,8.229701824,7.876955526,6.731873338,28.26082663,18.24357069,15.75774879,13.87302564,7.355630602,3.750737752,4.439505406,4.95208891,3.779658287,5.919351089,6.834899202,4.479419758,4.723400309,5.897290305,7.476678002,40.13113109,5.724852282,6.014417042,5.103528669,2.538163005,4.204518558,9.40467655,31.75312953,43.56491265,13.60123363,28.58975814,48.65325692,32.15068333,8.206030164,52.34457518,40.84534923,19.44918532,40.71461088,18.87215621,8.179835688,34.50444254,9.08349985,18.36063955,11.66609525,10.1547409,11.54643,38.9336782,38.77659795,48.73764261,138.2311364,17.85829247,30.27775743
1_bin.33,13.18562453,0.003739207,0.002574222,0,24.35331706,104.1327146,14.84636959,29.82588718,17.2144817,12.84594913,3.966067329,1.125315739,20.93870386,14.54382873,72.19826785,33.56930905,9.533605351,2.848358876,4.17576956,3.011181726,5.660672519,8.412999938,2.747360658,1.55258734,6.914330254,11.70558251,2.129881581,6.083445672,7.212676442,0.005430658,2.701965707,2.209483403,1.727693256,1.189882521,0.811088784,0.75140907,0.767565629,0.156364877,0.002100696,0.008721088,0.443739407,0.445049576,3.515683203,3.327885131,9.243486598,3.438182058,1.030409445,9.012922625,2.180916359,2.886552258,1.290198945,0.151048321,0.154846433,2.571294537,2.113471452,0.044134972,0.017766062,4.001546262,0.51605824,2.500445148,1.485071897,1.405873258,75.37627302,80.40828005,14.24545054,29.95838217,58.40813015,41.82528818,9.952461054,8.918839036,3.524260123,6.694245678,0.073050727,0.175939192,33.86433369,22.83945103,13.48612489,17.88072911,5.290291623,0.53990391,0.496425554,2.134546083,0.9407092,4.095393276,10.78777565,1.395430091,1.18626536,2.057288196,0.104551091,14.04805135,0.07305496,0.600289517,1.653680296,1.680430624,1.117712099,11.87504412,13.89739239,18.6565169,12.69406376,9.389618992,16.35397698,0.265121779,3.059135367,21.06461624,9.693044335,33.43287681,26.15297289,3.130540805,1.114509859,10.11998931,4.248407502,19.93450557,10.58315846,7.527926626,2.112919367,89.99056281,28.85554213,53.27983557,64.28080646,8.848859026,92.4649732
1_bin.4,26.60926678,19.40025325,18.52538776,28.56442176,70.39773468,77.17558419,41.6473411,45.42584576,32.82296039,23.91014491,39.19639762,36.89707126,24.25217289,21.65015105,36.83881929,34.24317971,19.69419861,18.43808874,25.15777816,47.17562687,56.62746568,48.33299688,43.17361626,37.51982814,30.53294354,22.43267147,22.51966605,23.35432098,30.64984695,209.6161395,23.14976442,28.3627798,24.90757778,29.74152008,24.63848389,20.22121284,26.99746269,22.46831768,84.38496494,26.68777605,117.0340935,131.1242347,37.46363627,39.3418113,25.56983988,157.9099903,55.00750867,27.78929852,20.63939936,23.0126125,23.94398745,23.14920414,54.13736627,134.4841881,37.21054013,30.0390411,63.84234465,43.83194983,82.47122464,36.26868019,36.79393647,22.32807666,39.57560463,25.39822517,25.72316189,23.0979188,30.08071441,26.3199117,23.56895413,17.93849973,17.75440318,21.14297379,124.4366954,113.7600824,22.35418116,25.32982339,25.11746975,31.53690506,36.34454593,19.37716232,22.07230257,23.76132617,19.68372539,36.71748674,25.95631645,30.10985936,35.45034891,20.86764553,22.23368196,26.72597255,18.44084281,17.90614085,13.1842299,13.116057,29.75326321,52.77050731,34.20523878,84.7546253,10.11989033,36.34954398,75.15041804,335.1251309,43.06549788,34.80129383,28.91173403,108.6314979,88.00605257,26.60887982,41.97310796,30.28349074,42.35980188,40.26756557,50.21902964,34.52384477,42.97588081,45.97878923,42.23681622,62.22365072,199.6094301,39.56691774,44.79201566
1_bin.40,8.600651746,50.63385083,54.25816167,94.6247364,57.30237035,106.8113269,286.0470853,253.9907096,125.7139403,185.095129,39.28591483,15.45160101,201.7189034,184.9986324,403.8050556,289.3457645,172.9114035,111.2802024,234.9958051,15.09073546,82.85826066,18.17806322,17.20062145,13.09228878,183.5952704,191.1979107,256.4084983,320.8201374,207.8500368,312.6610558,193.0029536,265.7549542,290.654941,299.8042041,197.8125876,135.4956731,150.1585798,143.8732235,343.7978336,225.6656349,12.26460919,13.62663616,13.03447611,14.23868454,205.2799273,21.10586212,454.716417,278.4173735,207.6070157,298.6971752,156.3445298,273.0785812,264.9247993,250.0964757,245.5435614,233.9270367,154.420075,259.3417649,257.7604284,15.03613027,14.01041966,30.04403222,194.0951868,137.6685392,230.2014188,232.7466034,231.8652911,213.1779115,201.5490176,158.5893669,207.5261239,174.0057822,12.20573289,15.95988396,197.3222904,198.3775888,182.6424143,175.3002159,240.2468482,170.8196592,182.4475719,220.3266286,206.5587783,228.8896819,229.1174127,21.30371467,10.10300541,63.08747944,101.9016131,202.741777,82.18904325,117.0437818,94.61051603,46.13029717,9.566043781,20.64132905,101.2253451,396.2068562,56.34556241,96.40861759,429.7794983,336.5590289,17.98443145,262.7009406,236.4558771,364.53177,466.5954641,301.9172139,189.0884093,241.8840693,16.29423231,33.88391073,15.77086809,17.01987209,14.04956512,195.5671832,170.2963036,199.5683202,381.1083725,198.5390442,226.4451069
