,Domain,Phylum,Class,Order,Family,Genus,Species,Species_ANI,mOTU,16S,Community (%),Bin_Size (Mbp),Completeness (%),Contamination (%),Strain_Heterogeneity (%),Watermass
80_bin.45,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,UBA8438,UBA8438 sp002712885,16_0,NA,Y,1.279430564,3.732545,79.46,0,0,Deep
23_bin.63,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,,,207_1,NA,N,0.860018643,2.45113,75.75,2.04,0,Deep
51_bin.24,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,,,207_1,NA,Y,0.884635545,2.469954,78.29,6.74,0,Deep
61_bin.37,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,,,207_1,NA,Y,0.540429418,2.701309,56.69,2.57,0,Deep
80_bin.15,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,,,207_1,NA,N,2.477047414,2.509003,67.49,0.85,0,Deep
83_bin.27,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,,,207_1,NA,Y,1.107528199,2.900247,87.07,8.59,4.55,Deep
80_bin.35,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,,,208_0,NA,N,0.84737246,1.91767,50.41,3.45,0,Deep
36_bin.73,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Aquiluna,,154_0,NA,N,0.214362515,0.820287,66.52,0.78,50,Neritic
10_bin.20,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,8_1,NA,N,0.758303153,1.980991,82.88,1.9,42.86,STW
3_bin.7,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,8_1,NA,N,1.597301989,1.156596,50.16,3.79,0,Deep
13_bin.8,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,1.528661681,1.889797,86.97,2.48,40,STW
23_bin.16,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,1.372338399,1.918854,91.95,0.43,0,Deep
3_bin.19,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,N,1.507875887,1.455683,62.86,4.36,0,Deep
34_bin.24,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,0.802108342,1.990526,87.18,6.01,6.25,Deep
44_bin.11,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,1.130537133,1.770541,83.9,1.55,75,STW
62_bin.19,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,1.511526599,1.866844,86.89,4.44,16.67,STW
65_bin.17,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,1.443565213,1.904179,91.23,0.52,0,STW
78_bin.30,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085,190_1,NA,Y,1.277709946,1.939997,93.23,1.28,50,STW
1_bin.17,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105,187_1,NA,Y,2.079728033,2.39096,93.59,2.99,0,STW
65_bin.22,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105,187_1,NA,N,0.963663428,2.374967,89.32,2.14,0,STW
76_bin.16,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105,187_1,NA,Y,2.26132977,2.443344,97.86,2.14,0,STW
78_bin.17,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105,187_1,NA,Y,1.148406719,2.457515,93.59,2.14,0,STW
20_bin.26,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,5.035984251,2.206527,91.52,2.14,0,Deep
34_bin.38,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,2.117116743,2.188533,89.81,2.14,0,Deep
43_bin.23,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,N,1.041490732,1.981243,85.04,9.54,0,Deep
51_bin.18,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,2.39177247,2.170373,88.02,2.14,0,Deep
61_bin.20,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,1.382610983,2.216964,91.8,2.99,25,Deep
64_bin.19,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,5.056409683,2.198816,88.02,2.14,0,Deep
69_bin.14,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,N,2.918250188,2.207297,90,6.84,7.14,Deep
72_bin.12,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,5.15998953,1.472767,57.6,5.98,12.5,Deep
