Bin_ID,Sample,Watermass,Date,Bin_Size(Mbp),16S,ORF_count,Completeness,Contamination,Strain_Heterogeneity,percent_Community,dRep_85_95,Classification
1_bin.12,1,STW,3/06/14,2.15587,NODE_4348_length_7123_cov_8.467215,2287,83.65,2.29,52,1.171541002,184_2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__Luminiphilus sp002683395
1_bin.15,1,STW,3/06/14,1.207867,NODE_2589_length_9816_cov_11.204436,1142,71.96,2.27,75,1.571018448,25_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5;s__MGIIb-O5 sp002506825
1_bin.17,1,STW,3/06/14,2.39096,NODE_163_length_36611_cov_14.537362,2396,93.59,2.99,0,2.079728033,187_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__MedAcidi-G3;s__MedAcidi-G3 sp000817105
1_bin.18,1,STW,3/06/14,1.294225,NODE_137_length_39423_cov_20.609643,1317,66.38,0,0,2.641700086,53_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__UBA11654;s__UBA11654 sp002691305
1_bin.22,1,STW,3/06/14,1.013738,x,1356,82.56,0.97,100,12.07177874,50_1,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002690535
1_bin.23,1,STW,3/06/14,1.046735,NODE_8838_length_4384_cov_11.705828,1035,56.79,4.46,28.57,1.200864198,161_0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3;s__
1_bin.28,1,STW,3/06/14,2.15532,x,2359,64.8,1.28,0,0.901608456,186_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA9040;s__
1_bin.33,1,STW,3/06/14,1.43605,NODE_1212_length_14869_cov_18.849648,1254,76.4,1.09,33.33,2.269745732,18_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497895
1_bin.4,1,STW,3/06/14,2.079133,x,2192,73.9,3.69,37.5,1.196524942,197_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA868;s__
1_bin.40,1,STW,3/06/14,1.049693,NODE_674_length_19483_cov_30.484902,1092,62.63,2.83,0,2.692160498,136_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__MED-G09;s__MED-G09 sp002704345
1_bin.5,1,STW,3/06/14,1.708595,x,1740,60.11,3.6,0,0.969304775,164_1,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589;s__
1_bin.8,1,STW,3/06/14,2.120117,x,2304,79.32,3.49,50,1.598192253,200_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA5682;s__UBA5682 sp002171735
1_bin.9,1,STW,3/06/14,1.766776,x,1634,53.76,0,0,1.183909184,73_3,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__UBA1096 sp002299785
